expt_no	cell_line	inhibition_calc_method	first_agent	conc_first_agent	first_agent_inhibition	first_agent_stddev	second_agent	conc_second_agent	second_agent_inhibition	second_agent_stddev	combo_observed	combo_stddev	bliss	observed_bliss_diff
97	HPAF-II	28	Erlotinib	5			0.1% DMSO				8.08	1.1312		
97	HPAF-II	28	Erlotinib	10			0.1% DMSO				18.21	1.821		
97	HPAF-II	28	Cerulenin	5			0.1% DMSO				4.25	0.935		
97	HPAF-II	28	BIBW-2992	2.5			0.1% DMSO				13.2	1.716		
97	HPAF-II	28	BX 513	2.5			0.1% DMSO				5.65	0.678		
97	HPAF-II	28	Flavopiridol	0.0003			0.1% DMSO				-6.16	1.1704		
97	HPAF-II	28	BEZ-235	0.001			0.1% DMSO				-1.72	2.7348		
97	HPAF-II	28	Sunitinib	0.08			0.1% DMSO				-3.33	2.8638		
97	HPAF-II	28	BX 513	0.005			0.1% DMSO				6.99	0.4194		
97	HPAF-II	28	Embelin	0.08			0.1% DMSO				-3.94	4.2158		
97	HPAF-II	28	Etoposide	0.3			0.1% DMSO				-1.25	1.575		
97	HPAF-II	28	Decitabine	0.002			0.1% DMSO				-2.33	1.4679		
97	HPAF-II	28	Mitomycin C	5			0.1% DMSO				40.38	0.4038		
97	HPAF-II	28	R428	5			0.1% DMSO				-1	6.03		
97	HPAF-II	28	AZD-7762	0.02			0.1% DMSO				-5.52	4.0848		
97	HPAF-II	28	BRD-7389	0.0006			0.1% DMSO				-8.34	2.3352		
97	HPAF-II	28	Homoharringtonine	1.25			0.1% DMSO				50.94	1.5282		
97	HPAF-II	28	BMS-754807	0.001			0.1% DMSO				-0.35	2.499		
97	HPAF-II	28	Imatinib	0.002			0.1% DMSO				-4.68	2.6208		
97	HPAF-II	28	Obatoclax	0.04			0.1% DMSO				-10.91	2.8366		
97	HPAF-II	28	Nelfinavir	0.02			0.1% DMSO				-8.86	4.43		
97	HPAF-II	28	Flavopiridol	0.005			0.1% DMSO				-9.86	3.451		
97	HPAF-II	28	Docetaxel	0.04			0.1% DMSO				34.15	2.3905		
97	HPAF-II	28	17-DMAG	1.25			0.1% DMSO				39.94	1.5976		
97	HPAF-II	28	JNK inhibitor II	0.16			0.1% DMSO				-2.34	2.7612		
97	HPAF-II	28	BMS-754807	0.63			0.1% DMSO				3.54	1.6638		
97	HPAF-II	28	BRD-7389	0.005			0.1% DMSO				-4.38	1.533		
97	HPAF-II	28	PD173074	0.04			0.1% DMSO				-6.2	2.604		
97	HPAF-II	28	BMS-536924	5			0.1% DMSO				19.51	3.902		
97	HPAF-II	28	AR-A014418	0.08			0.1% DMSO				-2.62	2.1746		
97	HPAF-II	28	JK 184	1.25			0.1% DMSO				22.9	1.832		
97	HPAF-II	28	CIP 13-74	0.0006			0.1% DMSO				-5.09	2.545		
97	HPAF-II	28	Obatoclax	0.0003			0.1% DMSO				-6.37	2.7391		
97	HPAF-II	28	Vemurafenib	1.25			0.1% DMSO				-13.66	3.415		
97	HPAF-II	28	CMPD-1	0.01			0.1% DMSO				-9.18	3.3966		
97	HPAF-II	28	Flavopiridol	0.16			0.1% DMSO				-6.41	2.4999		
97	HPAF-II	28	Bortezomib	0.002			0.1% DMSO				-7.29	1.5309		
97	HPAF-II	28	PNU 74654	0.63			0.1% DMSO				-5.13	3.6936		
97	HPAF-II	28	Carfilzomib	2.5			0.1% DMSO				98.63	0		
97	HPAF-II	28	BRD-7389	0.63			0.1% DMSO				-6.36	4.452		
97	HPAF-II	28	Vemurafenib	10			0.1% DMSO				-1.13	1.1074		
97	HPAF-II	28	BI-2536	0.63			0.1% DMSO				29.07	2.3256		
97	HPAF-II	28	Crizotinib	0.0003			0.1% DMSO				-7.65	2.6775		
97	HPAF-II	28	MK-2206	0.3			0.1% DMSO				4.49	1.4817		
97	HPAF-II	28	Nelfinavir	0.002			0.1% DMSO				-2.8	2.212		
97	HPAF-II	28	Sorafenib	0.08			0.1% DMSO				-5.49	1.5921		
97	HPAF-II	28	Cerulenin	0.08			0.1% DMSO				2.87	4.2189		
97	HPAF-II	28	JNK inhibitor II	0.001			0.1% DMSO				-4.2	2.184		
97	HPAF-II	28	AZD-4547	0.08			0.1% DMSO				-3.05	3.0195		
97	HPAF-II	28	Bosutinib	0.08			0.1% DMSO				-9.16	9.8012		
97	HPAF-II	28	Hydroxychloroquine	0.0003			0.1% DMSO				-8.46	2.0304		
97	HPAF-II	28	Gemcitabine	2.5			0.1% DMSO				16.04	3.8496		
97	HPAF-II	28	AZD-7762	0.0003			0.1% DMSO				-3.08	3.234		
97	HPAF-II	28	Nutlin-3	0.02			0.1% DMSO				-6.06	2.1816		
97	HPAF-II	28	Stattic	0.02			0.1% DMSO				-8.14	2.9304		
97	HPAF-II	28	Stattic	0.01			0.1% DMSO				-8.85	3.4515		
97	HPAF-II	28	Triptolide	0.02			0.1% DMSO				56.99	1.7097		
97	HPAF-II	28	Gemcitabine	0.01			0.1% DMSO				-1.57	1.5386		
97	HPAF-II	28	Rosiglitazone	0.01			0.1% DMSO				-3.84	4.032		
97	HPAF-II	28	NVP-TAE684	0.16			0.1% DMSO				-2.64	6.3096		
97	HPAF-II	28	Lovastatin	0.16			0.1% DMSO				2.96	1.5392		
97	HPAF-II	28	PF-573228	0.16			0.1% DMSO				-2.36	1.534		
97	HPAF-II	28	Lovastatin	2.5			0.1% DMSO				-1.21	5.0457		
97	HPAF-II	28	Hydroxychloroquine	0.63			0.1% DMSO				-3.75	3.5625		
97	HPAF-II	28	Obatoclax	0.002			0.1% DMSO				-7.85	1.8055		
97	HPAF-II	28	Curcumin	0.002			0.1% DMSO				-5.71	0.7423		
97	HPAF-II	28	Docetaxel	1.25			0.1% DMSO				32.7	0.327		
97	HPAF-II	28	NVP-231	0.005			0.1% DMSO				-2.64	1.5576		
97	HPAF-II	28	Obatoclax	0.08			0.1% DMSO				-5.86	1.465		
97	HPAF-II	28	Mitomycin C	0.0006			0.1% DMSO				0.27	1.8414		
97	HPAF-II	28	Bortezomib	2.5			0.1% DMSO				97.8	0		
97	HPAF-II	28	Tipifarnib	0.01			0.1% DMSO				-4.72	2.0296		
97	HPAF-II	28	BI-2536	2.5			0.1% DMSO				27.97	3.9158		
97	HPAF-II	28	BI-2536	5			0.1% DMSO				31.86	3.186		
97	HPAF-II	28	AZD-7762	0.005			0.1% DMSO				-3.19	3.8599		
97	HPAF-II	28	Curcumin	0.0006			0.1% DMSO				-8.34	0.2502		
97	HPAF-II	28	17-DMAG	10			0.1% DMSO				94.33	1.8866		
97	HPAF-II	28	Lovastatin	0.08			0.1% DMSO				4.84	4.8884		
97	HPAF-II	28	Vemurafenib	0.0006			0.1% DMSO				-6.46	2.3902		
97	HPAF-II	28	Gemcitabine	0.63			0.1% DMSO				16.12	1.9344		
97	HPAF-II	28	ABT-888	0.001			0.1% DMSO				-4.65	5.58		
97	HPAF-II	28	Embelin	0.63			0.1% DMSO				-8.82	0.441		
97	HPAF-II	28	Gemcitabine	0.3			0.1% DMSO				14.61	0.7305		
97	HPAF-II	28	CMPD-1	1.25			0.1% DMSO				0.19	3.553		
97	HPAF-II	28	Tozasertib	0.04			0.1% DMSO				-8.8	2.288		
97	HPAF-II	28	Docetaxel	2.5			0.1% DMSO				33.45	2.007		
97	HPAF-II	28	Lapatinib	0.3			0.1% DMSO				-3.24	4.7628		
97	HPAF-II	28	Vinorelbine	0.63			0.1% DMSO				28.74	3.7362		
97	HPAF-II	28	Tivantinib	0.63			0.1% DMSO				-9.13	2.0999		
97	HPAF-II	28	Pemetrexed	10			0.1% DMSO				52.43	12.0589		
97	HPAF-II	28	Carfilzomib	1.25			0.1% DMSO				98.4	0.984		
97	HPAF-II	28	Sorafenib	5			0.1% DMSO				15.94	1.7534		
97	HPAF-II	28	17-DMAG	2.5			0.1% DMSO				45.73	5.0303		
97	HPAF-II	28	PNU 74654	0.002			0.1% DMSO				-6.38	1.5312		
97	HPAF-II	28	BRD-7389	0.3			0.1% DMSO				-5.38	7.0478		
97	HPAF-II	28	XAV 939	10			0.1% DMSO				3.86	1.0808		
97	HPAF-II	28	PF-573228	1.25			0.1% DMSO				-5.94	5.346		
97	HPAF-II	28	Gefitinib	0.001			0.1% DMSO				-5.86	5.2154		
97	HPAF-II	28	CMPD-1	10			0.1% DMSO				10.38	1.1418		
97	HPAF-II	28	CYT-387	10			0.1% DMSO				10.8	2.916		
97	HPAF-II	28	Nutlin-3	0.08			0.1% DMSO				-0.97	2.2407		
97	HPAF-II	28	Docetaxel	0.0006			0.1% DMSO				-4.22	0.844		
97	HPAF-II	28	YM155	0.01			0.1% DMSO				81.7	4.902		
97	HPAF-II	28	Tivantinib	0.002			0.1% DMSO				-6.77	3.2496		
97	HPAF-II	28	Syk Inhibitor	0.04			0.1% DMSO				-9.73	1.8487		
97	HPAF-II	28	Tozasertib	0.3			0.1% DMSO				-3.78	5.2542		
97	HPAF-II	28	JK 184	0.04			0.1% DMSO				33.61	1.6805		
97	HPAF-II	28	YM155	0.94			0.1% DMSO				97.89	0		
97	HPAF-II	28	YM155	0.0002			0.1% DMSO				-0.41	3.5465		
97	HPAF-II	28	NVP-TAE684	5			0.1% DMSO				49.95	9.4905		
97	HPAF-II	28	Paclitaxel	0.001			0.1% DMSO				-1.29	6.7854		
97	HPAF-II	28	Etoposide	0.001			0.1% DMSO				0.44	2.8556		
97	HPAF-II	28	BEZ-235	0.03			0.1% DMSO				-2.54	1.8542		
97	HPAF-II	28	Rosiglitazone	0.002			0.1% DMSO				-5.03	0.9557		
97	HPAF-II	28	Tivantinib	0.01			0.1% DMSO				-9.82	2.946		
97	HPAF-II	28	Bosutinib	0.001			0.1% DMSO				-6.45	4.1925		
97	HPAF-II	28	Gemcitabine	0.02			0.1% DMSO				0.22	1.386		
97	HPAF-II	28	Bosutinib	0.16			0.1% DMSO				-3.84	6.9504		
97	HPAF-II	28	Hydroxychloroquine	2.5			0.1% DMSO				11.59	2.5498		
97	HPAF-II	28	Vinorelbine	0.04			0.1% DMSO				-4.79	0.9101		
97	HPAF-II	28	Temsirolimus	0.01			0.1% DMSO				-5.09	1.8324		
97	HPAF-II	28	BX 513	0.0006			0.1% DMSO				2.07	2.4219		
97	HPAF-II	28	Sunitinib	0.002			0.1% DMSO				-3.5	0.56		
97	HPAF-II	28	XAV 939	0.001			0.1% DMSO				-2.98	3.2184		
97	HPAF-II	28	17-DMAG	0.02			0.1% DMSO				-1.92	3.9168		
97	HPAF-II	28	Tipifarnib	0.005			0.1% DMSO				-1.12	2.4528		
97	HPAF-II	28	Vinorelbine	0.001			0.1% DMSO				-3.15	2.9295		
97	HPAF-II	28	Lapatinib	10			0.1% DMSO				15.99	3.3579		
97	HPAF-II	28	Crizotinib	0.04			0.1% DMSO				-5.35	0.5885		
97	HPAF-II	28	Gemcitabine	5			0.1% DMSO				25.26	2.2734		
97	HPAF-II	28	Simvastatin	0.01			0.1% DMSO				-6.19	0.6809		
97	HPAF-II	28	Bosutinib	0.0006			0.1% DMSO				-6.03	1.9296		
97	HPAF-II	28	CYT-387	0.01			0.1% DMSO				5.01	2.4549		
97	HPAF-II	28	Carfilzomib	0.16			0.1% DMSO				86.17	3.4468		
97	HPAF-II	28	Lapatinib	0.001			0.1% DMSO				-3.7	1.554		
97	HPAF-II	28	Bosutinib	1.25			0.1% DMSO				-6.91	4.6988		
97	HPAF-II	28	Piperlongumine	0.005			0.1% DMSO				-3.58	0.9308		
97	HPAF-II	28	Hydroxychloroquine	0.002			0.1% DMSO				-5.38	2.152		
97	HPAF-II	28	Gemcitabine	0.001			0.1% DMSO				-3.53	1.059		
97	HPAF-II	28	Tozasertib	0.0006			0.1% DMSO				-4.96	1.984		
97	HPAF-II	28	Gemcitabine	0.005			0.1% DMSO				-1.71	4.0698		
97	HPAF-II	28	BRD-7389	10			0.1% DMSO				39.43	3.1544		
97	HPAF-II	28	Gemcitabine	0.16			0.1% DMSO				11.02	1.4326		
97	HPAF-II	28	Carboplatin	0.3			0.1% DMSO				-5.03	3.9234		
97	HPAF-II	28	PHA 665752	0.16			0.1% DMSO				-3.66	2.8548		
97	HPAF-II	28	Bortezomib	0.0003			0.1% DMSO				-6.8	4.352		
97	HPAF-II	28	Enzastaurin	0.02			0.1% DMSO				-4.02	0.402		
97	HPAF-II	28	AZD-8931	0.01			0.1% DMSO				-3.03	3.9996		
97	HPAF-II	28	BMS-536924	2.5			0.1% DMSO				7.73	3.0147		
97	HPAF-II	28	Rosiglitazone	0.0006			0.1% DMSO				-3.97	4.0494		
97	HPAF-II	28	Flavopiridol	10			0.1% DMSO				54.46	3.2676		
97	HPAF-II	28	Simvastatin	0.002			0.1% DMSO				-4.36	3.1392		
97	HPAF-II	28	AZD-4547	0.01			0.1% DMSO				-2.27	2.6332		
97	HPAF-II	28	Temsirolimus	0.005			0.1% DMSO				-2.56	3.584		
97	HPAF-II	28	CIP 13-74	1.25			0.1% DMSO				17.24	1.0344		
97	HPAF-II	28	Imatinib	0.3			0.1% DMSO				-8.28	4.2228		
97	HPAF-II	28	Carfilzomib	0.002			0.1% DMSO				-6.22	2.6746		
97	HPAF-II	28	BMS-536924	0.001			0.1% DMSO				-4.85	2.522		
97	HPAF-II	28	Hydroxychloroquine	0.04			0.1% DMSO				-8.29	3.0673		
97	HPAF-II	28	NVP-LDE225	0.001			0.1% DMSO				-1.07	0.8667		
97	HPAF-II	28	Curcumin	0.01			0.1% DMSO				-9.75	1.8525		
97	HPAF-II	28	Docetaxel	0.002			0.1% DMSO				-2.27	0.8853		
97	HPAF-II	28	Flavopiridol	0.01			0.1% DMSO				-10.59	5.0832		
97	HPAF-II	28	Tipifarnib	0.3			0.1% DMSO				4.15	1.7845		
97	HPAF-II	28	YM155	0.007			0.1% DMSO				33.71	6.4049		
97	HPAF-II	28	Cerulenin	0.02			0.1% DMSO				-2.03	4.6487		
97	HPAF-II	28	JNK inhibitor II	0.3			0.1% DMSO				-0.54	1.836		
97	HPAF-II	28	PX 12	5			0.1% DMSO				0.45	1.9305		
97	HPAF-II	28	Piperlongumine	1.25			0.1% DMSO				-5.35	5.9385		
97	HPAF-II	28	Enzastaurin	0.04			0.1% DMSO				-11.59	2.318		
97	HPAF-II	28	AZD-7762	0.002			0.1% DMSO				-4.27	2.3912		
97	HPAF-II	28	BIBW-2992	0.04			0.1% DMSO				-2.61	1.8009		
97	HPAF-II	28	Vorinostat	0.002			0.1% DMSO				-5.11	1.2775		
97	HPAF-II	28	Flavopiridol	0.3			0.1% DMSO				18.39	7.356		
97	HPAF-II	28	BEZ-235	0.5			0.1% DMSO				30.61	0.9183		
97	HPAF-II	28	BX 513	0.001			0.1% DMSO				4.19	0.3771		
97	HPAF-II	28	Paclitaxel	0.3			0.1% DMSO				36.11	3.9721		
97	HPAF-II	28	Hydroxychloroquine	0.3			0.1% DMSO				-2.35	2.1855		
97	HPAF-II	28	CIP 13-74	2.5			0.1% DMSO				24.98	3.747		
97	HPAF-II	28	AZD-4547	0.0003			0.1% DMSO				-2.29	2.1526		
97	HPAF-II	28	Simvastatin	0.63			0.1% DMSO				-6.36	1.272		
97	HPAF-II	28	YM155	0.12			0.1% DMSO				97.26	0		
97	HPAF-II	28	Vorinostat	0.0006			0.1% DMSO				-4.36	1.8312		
97	HPAF-II	28	Carboplatin	0.63			0.1% DMSO				-4.76	2.38		
97	HPAF-II	28	PHA 665752	0.63			0.1% DMSO				-1.29	1.3029		
97	HPAF-II	28	Imatinib	5			0.1% DMSO				-1.23	5.166		
97	HPAF-II	28	CYT-387	0.0006			0.1% DMSO				3.63	4.2471		
97	HPAF-II	28	YM155	0.004			0.1% DMSO				10.14	8.112		
97	HPAF-II	28	Hydroxychloroquine	0.0006			0.1% DMSO				-6.87	1.374		
97	HPAF-II	28	Crizotinib	10			0.1% DMSO				91.36	2.7408		
97	HPAF-II	28	Erlotinib	0.01			0.1% DMSO				-9.74	1.8506		
97	HPAF-II	28	CMPD-1	2.5			0.1% DMSO				-1.69	0.507		
97	HPAF-II	28	Erlotinib	0.005			0.1% DMSO				-8.17	5.0654		
97	HPAF-II	28	Vorinostat	0.001			0.1% DMSO				-6.15	2.8905		
97	HPAF-II	28	Lapatinib	0.0003			0.1% DMSO				-6.07	2.8529		
97	HPAF-II	28	JK 184	0.0003			0.1% DMSO				-5.53	5.8618		
97	HPAF-II	28	BRD-7389	0.02			0.1% DMSO				-3.32	3.0876		
97	HPAF-II	28	Paclitaxel	0.63			0.1% DMSO				32.75	2.2925		
97	HPAF-II	28	17-DMAG	0.16			0.1% DMSO				34.1	4.092		
97	HPAF-II	28	PNU 74654	10			0.1% DMSO				-1.47	0.6174		
97	HPAF-II	28	NVP-LDE225	0.63			0.1% DMSO				-9.56	2.0076		
97	HPAF-II	28	R428	0.16			0.1% DMSO				-9.33	5.8779		
97	HPAF-II	28	Curcumin	0.63			0.1% DMSO				-5.96	2.8012		
97	HPAF-II	28	Simvastatin	0.005			0.1% DMSO				-6.1	2.135		
97	HPAF-II	28	R428	0.005			0.1% DMSO				-8.54	1.4518		
97	HPAF-II	28	Docetaxel	0.02			0.1% DMSO				26.56	3.4528		
97	HPAF-II	28	AZD-8931	0.08			0.1% DMSO				4.83	2.5116		
97	HPAF-II	28	Simvastatin	0.0006			0.1% DMSO				-8.68	2.9512		
97	HPAF-II	28	Crizotinib	1.25			0.1% DMSO				-11.36	0.7952		
97	HPAF-II	28	Etoposide	5			0.1% DMSO				7.44	4.464		
97	HPAF-II	28	Tivantinib	0.08			0.1% DMSO				-7.57	2.271		
97	HPAF-II	28	XAV 939	0.08			0.1% DMSO				-0.5	3.965		
97	HPAF-II	28	AR-A014418	0.04			0.1% DMSO				-6.14	1.1052		
97	HPAF-II	28	Crizotinib	0.16			0.1% DMSO				-2.92	0.0876		
97	HPAF-II	28	XAV 939	0.3			0.1% DMSO				-4.13	3.0562		
97	HPAF-II	28	NVP-LDE225	10			0.1% DMSO				1.41	1.5369		
97	HPAF-II	28	Enzastaurin	1.25			0.1% DMSO				-6.28	3.8308		
97	HPAF-II	28	BRD-7389	0.16			0.1% DMSO				-2.53	2.0746		
97	HPAF-II	28	Carfilzomib	5			0.1% DMSO				99.19	0		
97	HPAF-II	28	Etoposide	0.005			0.1% DMSO				-3.54	5.7702		
97	HPAF-II	28	Triptolide	0.001			0.1% DMSO				-1.15	2.2885		
97	HPAF-II	28	BI-2536	0.08			0.1% DMSO				40.23	4.023		
97	HPAF-II	28	Docetaxel	0.001			0.1% DMSO				-1.75	2.5025		
97	HPAF-II	28	Lovastatin	0.002			0.1% DMSO				-1.89	4.158		
97	HPAF-II	28	Vorinostat	0.005			0.1% DMSO				-0.76	2.432		
97	HPAF-II	28	Carboplatin	0.08			0.1% DMSO				-7.15	2.431		
97	HPAF-II	28	Mitomycin C	0.0003			0.1% DMSO				0.97	0.7081		
97	HPAF-II	28	Piperlongumine	0.001			0.1% DMSO				-2.21	2.1437		
97	HPAF-II	28	Decitabine	0.0003			0.1% DMSO				-2.77	2.6315		
97	HPAF-II	28	Lovastatin	5			0.1% DMSO				11.38	5.121		
97	HPAF-II	28	PX 12	0.01			0.1% DMSO				-6.11	1.7719		
97	HPAF-II	28	Simvastatin	1.25			0.1% DMSO				-8.45	5.8305		
97	HPAF-II	28	JK 184	0.002			0.1% DMSO				-4.31	4.1807		
97	HPAF-II	28	Mitomycin C	0.002			0.1% DMSO				0.49	2.548		
97	HPAF-II	28	PD173074	10			0.1% DMSO				6.87	2.4045		
97	HPAF-II	28	PHA 665752	0.001			0.1% DMSO				-5.35	7.811		
97	HPAF-II	28	Vinorelbine	0.002			0.1% DMSO				-1.78	1.78		
97	HPAF-II	28	Etoposide	0.0006			0.1% DMSO				-4.99	2.6946		
97	HPAF-II	28	Triptolide	0.04			0.1% DMSO				63.45	2.538		
97	HPAF-II	28	Hydroxychloroquine	0.16			0.1% DMSO				-4.59	2.0196		
97	HPAF-II	28	Carboplatin	0.005			0.1% DMSO				-3.58	5.4774		
97	HPAF-II	28	JNK inhibitor II	0.005			0.1% DMSO				-6	1.62		
97	HPAF-II	28	PD173074	0.005			0.1% DMSO				-6.29	2.7676		
97	HPAF-II	28	Simvastatin	20			0.1% DMSO				29.81	2.0867		
97	HPAF-II	28	JK 184	0.02			0.1% DMSO				5.87	5.7526		
97	HPAF-II	28	CMPD-1	0.16			0.1% DMSO				-2.56	2.4064		
97	HPAF-II	28	JK 184	0.005			0.1% DMSO				-7.09	3.1905		
97	HPAF-II	28	CIP 13-74	10			0.1% DMSO				66.91	2.0073		
97	HPAF-II	28	Crizotinib	0.63			0.1% DMSO				-4.06	1.8676		
97	HPAF-II	28	Carboplatin	0.002			0.1% DMSO				-4.4	4.884		
97	HPAF-II	28	Bosutinib	2.5			0.1% DMSO				-3.29	8.2908		
97	HPAF-II	28	Temsirolimus	1.25			0.1% DMSO				-2.37	2.9625		
97	HPAF-II	28	NVP-TAE684	0.04			0.1% DMSO				-3.58	2.5776		
