Compound	DMSO only	DMSO+Cmpnd LFmax	TMZ only	TMZ+Cmpnd
Orphenadrine Citrate 	0.336	0.276	0.38	0.369
Tiotropium Bromide hydrate	0.336	0.266	0.38	0.354
Biperiden HCl	0.336	0.328	0.38	0.410
Succinylcholine Chloride Dihydrate	0.336	0.286	0.38	0.349
Benzethonium Chloride	0.336	0.113	0.38	0.175
Flavoxate HCl	0.336	0.325	0.38	0.384
Anisotropine Methylbromide 	0.336	0.220	0.38	0.277
Hyoscyamine	0.336	0.266	0.38	0.318
Homatropine Bromide	0.336	0.347	0.38	0.398
Aclidinium Bromide	0.336	0.297	0.38	0.346
Pancuronium dibromide	0.336	0.299	0.38	0.346
Tropicamide	0.336	0.316	0.38	0.359
Oxybutynin chloride	0.336	0.373	0.38	0.406
Butylscopolamine Bromide	0.336	0.321	0.38	0.353
Methscopolamine	0.336	0.303	0.38	0.335
Atropine	0.336	0.312	0.38	0.344
Vecuronium Bromide	0.336	0.333	0.38	0.360
Scopolamine HBr	0.336	0.321	0.38	0.336
Tolterodine tartrate	0.336	0.343	0.38	0.355
Varenicline Tartrate	0.336	0.360	0.38	0.359
Otilonium Bromide	0.336	0.360	0.38	0.358
Cytisine	0.336	0.334	0.38	0.312
Rocuronium Bromide	0.336	0.336	0.38	0.312
Darifenacin HBr	0.336	0.355	0.38	0.330
Trospium chloride 	0.336	0.374	0.38	0.344
Pyridostigmine Bromide 	0.336	0.414	0.38	0.364
(-)-Huperzine A (HupA)	0.336	0.223	0.38	0.446
Tacrine HCl	0.336	0.190	0.38	0.388
K02288	0.336	0.153	0.38	0.367
GW788388	0.336	0.197	0.38	0.401
SB525334	0.336	0.190	0.38	0.375
SB431542	0.336	0.256	0.38	0.422
LY2109761	0.336	0.176	0.38	0.342
RepSox	0.336	0.185	0.38	0.346
SB505124	0.336	0.495	0.38	0.545
Pirfenidone	0.336	0.328	0.38	0.372
LY2157299	0.336	0.260	0.38	0.301
LY364947	0.336	0.218	0.38	0.401
Cladribine	0.336	0.706	0.38	0.783
Istradefylline	0.336	0.258	0.38	0.354
CGS 21680 HCl	0.336	0.262	0.38	0.322
Forskolin	0.336	0.135	0.38	0.375
AdipoRon	0.336	0.161	0.38	0.355
Carvedilol	0.336	0.143	0.38	0.348
Carbazochrome sodium sulfonate (AC-17)	0.336	0.191	0.38	0.378
Isoprenaline HCl	0.336	0.167	0.38	0.350
Scopine	0.336	0.239	0.38	0.417
Propranolol HCl	0.336	0.290	0.38	0.461
Cisatracurium Besylate	0.336	0.163	0.38	0.334
Xylazine HCl	0.336	0.172	0.38	0.334
Nebivolol 	0.336	0.142	0.38	0.294
Alfuzosin HCl 	0.336	0.315	0.38	0.451
Oxymetazoline HCl	0.336	0.233	0.38	0.353
Noradrenaline bitartrate monohydrate	0.336	0.316	0.38	0.436
Ivabradine HCl	0.336	0.183	0.38	0.300
Adrenalone HCl	0.336	0.263	0.38	0.379
Synephrine	0.336	0.184	0.38	0.297
Yohimbine HCl	0.336	0.204	0.38	0.313
Xylometazoline HCl	0.336	0.284	0.38	0.390
Esmolol HCl	0.336	0.228	0.38	0.326
Guanabenz Acetate	0.336	0.351	0.38	0.447
Buflomedil HCl	0.336	0.283	0.38	0.376
Levobetaxolol HCl	0.336	0.381	0.38	0.473
Acebutolol HCl	0.336	0.295	0.38	0.386
Tolazoline HCl	0.336	0.254	0.38	0.346
Scopine HCl	0.336	0.294	0.38	0.362
Doxazosin Mesylate	0.336	0.254	0.38	0.319
Ractopamine HCl	0.336	0.268	0.38	0.332
Timolol Maleate	0.336	0.267	0.38	0.330
Medetomidine HCl	0.336	0.340	0.38	0.396
Phenoxybenzamine HCl	0.336	0.276	0.38	0.331
L-Adrenaline	0.336	0.313	0.38	0.367
Phentolamine Mesylate	0.336	0.307	0.38	0.358
Epinephrine HCl	0.336	0.345	0.38	0.396
Indacaterol Maleate	0.336	0.307	0.38	0.354
Metoprolol Tartrate	0.336	0.337	0.38	0.382
Epinephrine Bitartrate 	0.336	0.283	0.38	0.321
Phenylephrine HCl	0.336	0.269	0.38	0.305
Naftopidil 	0.336	0.312	0.38	0.347
Bisoprolol fumarate	0.336	0.347	0.38	0.381
Clorprenaline HCL	0.336	0.259	0.38	0.291
Betaxolol	0.336	0.279	0.38	0.311
Prazosin HCl	0.336	0.335	0.38	0.364
Formoterol Hemifumarate	0.336	0.298	0.38	0.320
Brimonidine Tartrate	0.336	0.362	0.38	0.376
Synephrine HCl	0.336	0.290	0.38	0.303
Detomidine HCl	0.336	0.370	0.38	0.382
Sotalol 	0.336	0.316	0.38	0.327
Terazosin HCl 	0.336	0.315	0.38	0.322
Tizanidine HCl	0.336	0.358	0.38	0.354
Silodosin	0.336	0.348	0.38	0.344
Ritodrine HCl 	0.336	0.335	0.38	0.330
Dexmedetomidine	0.336	0.428	0.38	0.420
Naphazoline HCl 	0.336	0.317	0.38	0.300
Tetrahydrozoline HCl	0.336	0.300	0.38	0.281
Mirabegron	0.336	0.372	0.38	0.352
Naftopidil DiHCl	0.336	0.372	0.38	0.333
Clonidine HCl 	0.336	0.269	0.38	0.391
StemRegenin 1 (SR1)	0.336	0.279	0.38	0.434
Isoliquiritigenin	0.336	0.163	0.38	0.362
Epalrestat	0.336	0.207	0.38	0.365
MK-2206 2HCl	0.336	0.221	0.38	0.493
AZD5363	0.336	0.342	0.38	0.601
Triciribine	0.336	0.502	0.38	0.525
CCT128930	0.336	0.115	0.38	0.435
GDC-0068	0.336	0.177	0.38	0.492
TIC10	0.336	0.304	0.38	0.418
A-674563	0.336	0.602	0.38	0.794
AT7867	0.336	0.374	0.38	0.611
GSK690693	0.336	0.207	0.38	0.523
Disulfiram 	0.336	0.184	0.38	0.320
Miglitol	0.336	0.234	0.38	0.407
Acarbose	0.336	0.273	0.38	0.337
Voglibose	0.336	0.286	0.38	0.343
Tosedostat (CHR2797)	0.336	0.392	0.38	0.462
Aniracetam	0.336	0.267	0.38	0.392
A-769662	0.336	0.253	0.38	0.371
Acadesine	0.336	0.296	0.38	0.384
ZLN005	0.336	0.137	0.38	0.460
AZD3514	0.336	0.087	0.38	0.300
Flutamide	0.336	0.244	0.38	0.408
Bicalutamide	0.336	0.253	0.38	0.376
ARN-509	0.336	0.303	0.38	0.422
Enzalutamide (MDV3100)	0.336	0.343	0.38	0.452
Oxymetholone	0.336	0.292	0.38	0.399
Cyproterone Acetate	0.336	0.240	0.38	0.329
Dehydroepiandrosterone (DHEA)	0.336	0.264	0.38	0.318
MK-2866 (GTx-024)	0.336	0.306	0.38	0.357
Spironolactone	0.336	0.376	0.38	0.389
Andarine	0.336	0.345	0.38	0.356
Epiandrosterone	0.336	0.230	0.38	0.355
TAME	0.336	0.247	0.38	0.371
Losartan Potassium (DuP 753)	0.336	0.319	0.38	0.497
Valsartan	0.336	0.177	0.38	0.332
Candesartan Cilexetil	0.336	0.255	0.38	0.360
Azilsartan	0.336	0.272	0.38	0.376
Candesartan 	0.336	0.276	0.38	0.371
Telmisartan 	0.336	0.321	0.38	0.412
PD123319	0.336	0.253	0.38	0.335
Eprosartan Mesylate	0.336	0.280	0.38	0.328
Olmesartan Medoxomil	0.336	0.316	0.38	0.348
Irbesartan	0.336	0.323	0.38	0.347
Azilsartan Medoxomil	0.336	0.329	0.38	0.345
KU-60019	0.336	0.231	0.38	0.453
KU-55933 (ATM Kinase Inhibitor)	0.336	0.332	0.38	0.409
CGK 733	0.336	0.126	0.38	0.411
VE-821	0.336	0.593	0.38	0.837
AZ20	0.336	0.624	0.38	0.809
VE-822	0.336	0.802	0.38	0.951
NU6027	0.336	0.214	0.38	0.374
MK-8745	0.336	0.489	0.38	0.758
PHA-680632	0.336	0.322	0.38	0.571
VX-680 (Tozasertib, MK-0457)	0.336	0.612	0.38	0.851
Alisertib (MLN8237)	0.336	0.654	0.38	0.872
MLN8054	0.336	0.634	0.38	0.822
Barasertib (AZD1152-HQPA)	0.336	0.737	0.38	0.906
ZM 447439	0.336	0.706	0.38	0.870
SNS-314 Mesylate	0.336	0.680	0.38	0.833
AMG-900	0.336	0.712	0.38	0.845
Hesperadin	0.336	0.901	0.38	0.977
CCT129202	0.336	0.363	0.38	0.435
TAK-901	0.336	0.925	0.38	0.989
CYC116	0.336	0.684	0.38	0.587
CCT137690	0.336	0.410	0.38	0.944
GSK1070916	0.336	0.407	0.38	0.801
MK-5108 (VX-689)	0.336	0.455	0.38	0.829
Aurora A Inhibitor I	0.336	0.390	0.38	0.755
Danusertib (PHA-739358)	0.336	0.545	0.38	0.802
LY2886721	0.336	0.255	0.38	0.457
LY2811376	0.336	0.268	0.38	0.333
BAM7	0.336	0.221	0.38	0.313
TW-37	0.336	0.405	0.38	0.538
Obatoclax Mesylate (GX15-070)	0.336	0.467	0.38	0.567
HA14-1	0.336	0.279	0.38	0.362
AT101	0.336	0.089	0.38	0.163
ABT-199 (GDC-0199)	0.336	0.513	0.38	0.573
ABT-263 (Navitoclax)	0.336	0.786	0.38	0.756
ABT-737	0.336	0.738	0.38	0.358
(+)-JQ1	0.336	0.425	0.38	0.839
PFI-1 (PF-6405761)	0.336	0.127	0.38	0.524
I-BET151 (GSK1210151A)	0.336	0.278	0.38	0.673
I-BET-762	0.336	0.182	0.38	0.574
Tetrandrine	0.336	0.150	0.38	0.411
Felodipine	0.336	0.188	0.38	0.434
Lacidipine 	0.336	0.186	0.38	0.409
Clevidipine Butyrate	0.336	0.156	0.38	0.345
Manidipine 2HCl	0.336	0.211	0.38	0.394
Nitrendipine	0.336	0.221	0.38	0.382
Manidipine	0.336	0.286	0.38	0.445
Nisoldipine 	0.336	0.285	0.38	0.442
Benidipine HCl	0.336	0.268	0.38	0.412
Verapamil HCl	0.336	0.178	0.38	0.318
Lomerizine HCl	0.336	0.246	0.38	0.369
Diltiazem HCl 	0.336	0.240	0.38	0.359
Cilnidipine	0.336	0.230	0.38	0.346
Nifedipine	0.336	0.246	0.38	0.354
Nicardipine HCl	0.336	0.309	0.38	0.398
Tetracaine HCl 	0.336	0.237	0.38	0.323
Flunarizine 2HCl	0.336	0.282	0.38	0.348
Nimodipine	0.336	0.283	0.38	0.348
Azelnidipine	0.336	0.270	0.38	0.327
Nilvadipine	0.336	0.316	0.38	0.365
Isradipine	0.336	0.357	0.38	0.400
Amlodipine 	0.336	0.328	0.38	0.315
Rimonabant	0.336	0.258	0.38	0.407
GW842166X	0.336	0.285	0.38	0.404
BML-190	0.336	0.272	0.38	0.356
AM251	0.336	0.403	0.38	0.425
Org 27569	0.336	0.361	0.38	0.379
AM1241	0.336	0.325	0.38	0.682
Tioxolone	0.336	0.202	0.38	0.353
U-104	0.336	0.249	0.38	0.382
Brinzolamide	0.336	0.234	0.38	0.348
Dichlorphenamide	0.336	0.417	0.38	0.413
Methazolamide	0.336	0.302	0.38	0.294
PAC-1	0.336	0.335	0.38	0.555
VX-765	0.336	0.213	0.38	0.334
Apoptosis Activator 2	0.336	0.259	0.38	0.345
NPS-2143	0.336	0.103	0.38	0.262
Cinacalcet HCl	0.336	0.320	0.38	0.349
Cathepsin Inhibitor 1	0.336	0.225	0.38	0.391
Odanacatib (MK-0822)	0.336	0.334	0.38	0.364
E-64	0.336	0.229	0.38	0.552
Rebamipide	0.336	0.316	0.38	0.415
Maraviroc	0.336	0.211	0.38	0.340
NSC 23766	0.336	0.189	0.38	0.392
ZCL278	0.336	0.356	0.38	0.457
EHop-016 	0.336	0.323	0.38	0.410
R547	0.336	0.457	0.38	0.683
SNS-032 (BMS-387032)	0.336	0.445	0.38	0.655
Flavopiridol HCl	0.336	0.535	0.38	0.744
P276-00	0.336	0.593	0.38	0.766
AT7519	0.336	0.462	0.38	0.624
BS-181 HCl	0.336	0.226	0.38	0.383
AZD5438	0.336	0.464	0.38	0.607
Dinaciclib (SCH727965)	0.336	0.431	0.38	0.568
Palbociclib (PD-0332991) HCl	0.336	0.067	0.38	0.174
Roscovitine (Seliciclib,CYC202)	0.336	0.233	0.38	0.313
PHA-767491	0.336	0.360	0.38	0.411
BMS-265246	0.336	0.233	0.38	0.263
TG003	0.336	0.426	0.38	0.442
PHA-793887	0.336	0.547	0.38	0.509
LY2835219	0.336	0.351	0.38	0.741
JNJ-7706621	0.336	0.332	0.38	0.409
Milciclib (PHA-848125)	0.336	0.094	0.38	0.418
Anacetrapib (MK-0859)	0.336	0.205	0.38	0.460
Torcetrapib	0.336	0.319	0.38	0.512
Dalcetrapib (JTT-705, RO4607381)	0.336	0.199	0.38	0.374
Evacetrapib (LY2484595)	0.336	0.237	0.38	0.302
CFTRinh-172	0.336	0.129	0.38	0.344
VX-809 (Lumacaftor)	0.336	0.212	0.38	0.421
Ataluren (PTC124)	0.336	0.155	0.38	0.351
VX-661	0.336	0.226	0.38	0.355
Ivacaftor (VX-770)	0.336	0.325	0.38	0.383
IOWH032	0.336	0.164	0.38	0.503
MK-8776 (SCH 900776)	0.336	0.544	0.38	0.731
CHIR-124	0.336	0.616	0.38	0.770
LY2603618	0.336	0.826	0.38	0.897
AZD7762	0.336	0.964	0.38	0.948
PF-477736	0.336	0.266	0.38	0.670
CX-4945 (Silmitasertib)	0.336	0.276	0.38	0.424
Lubiprostone 	0.336	0.276	0.38	0.357
Phenformin HCl	0.336	0.244	0.38	0.306
Tolcapone	0.336	0.330	0.38	0.504
Entacapone	0.336	0.255	0.38	0.373
Flurbiprofen 	0.336	0.078	0.38	0.336
Indomethacin 	0.336	0.129	0.38	0.378
Nimesulide	0.336	0.124	0.38	0.354
Diclofenac Diethylamine	0.336	0.206	0.38	0.413
Glafenine HCl	0.336	0.221	0.38	0.426
Famprofazone	0.336	0.211	0.38	0.413
Bufexamac	0.336	0.138	0.38	0.324
Ibuprofen 	0.336	0.301	0.38	0.446
Ampiroxicam	0.336	0.248	0.38	0.382
Nabumetone	0.336	0.206	0.38	0.337
Sasapyrine	0.336	0.206	0.38	0.332
Ketorolac	0.336	0.219	0.38	0.341
Valdecoxib	0.336	0.193	0.38	0.313
Aspirin	0.336	0.262	0.38	0.379
Ketoprofen 	0.336	0.219	0.38	0.330
Licofelone	0.336	0.222	0.38	0.328
Rofecoxib 	0.336	0.240	0.38	0.344
Mefenamic Acid	0.336	0.250	0.38	0.349
Suprofen 	0.336	0.280	0.38	0.365
Sulindac 	0.336	0.303	0.38	0.388
Zaltoprofen	0.336	0.270	0.38	0.355
Triflusal	0.336	0.301	0.38	0.385
Diclofenac Potassium	0.336	0.300	0.38	0.380
Tolmetin Sodium	0.336	0.318	0.38	0.388
Bromfenac Sodium	0.336	0.293	0.38	0.355
Lumiracoxib	0.336	0.346	0.38	0.407
Flunixin Meglumin	0.336	0.335	0.38	0.395
Tolfenamic Acid	0.336	0.307	0.38	0.362
Asaraldehyde	0.336	0.298	0.38	0.352
Carprofen	0.336	0.269	0.38	0.321
Piroxicam 	0.336	0.287	0.38	0.334
Oxaprozin	0.336	0.312	0.38	0.348
Acemetacin	0.336	0.365	0.38	0.398
Benzydamine HCl	0.336	0.247	0.38	0.280
Celecoxib	0.336	0.307	0.38	0.331
Meloxicam	0.336	0.313	0.38	0.337
Diclofenac Sodium	0.336	0.294	0.38	0.314
Lornoxicam	0.336	0.336	0.38	0.356
Amfenac Sodium Monohydrate	0.336	0.349	0.38	0.363
Etodolac 	0.336	0.358	0.38	0.369
Phenylbutazone 	0.336	0.323	0.38	0.327
Naproxen 	0.336	0.324	0.38	0.320
Nepafenac	0.336	0.389	0.38	0.358
Niflumic acid	0.336	0.208	0.38	0.367
Flufenamic acid	0.336	0.236	0.38	0.338
SGC-CBP30	0.336	0.172	0.38	0.370
KPT-276	0.336	0.479	0.38	0.587
KPT-330	0.336	0.478	0.38	0.560
KPT-185	0.336	0.317	0.38	0.390
WZ811	0.336	0.298	0.38	0.352
Cyclosporine 	0.336	0.225	0.38	0.401
Cyclosporin A 	0.336	0.139	0.38	0.247
Proadifen HCl	0.336	0.267	0.38	0.446
Abiraterone Acetate	0.336	0.209	0.38	0.282
Galeterone	0.336	0.229	0.38	0.271
TAK-700 (Orteronel)	0.336	0.410	0.38	0.371
Letrozole	0.336	0.309	0.38	0.402
Formestane	0.336	0.307	0.38	0.382
Anastrozole	0.336	0.331	0.38	0.382
Aminoglutethimide 	0.336	0.317	0.38	0.344
Exemestane	0.336	0.351	0.38	0.377
Alizarin	0.336	0.179	0.38	0.412
Memantine HCl	0.336	0.271	0.38	0.428
Baicalein	0.336	0.256	0.38	0.405
Apigenin	0.336	0.294	0.38	0.367
Tranylcypromine (2-PCPA) HCl	0.336	0.227	0.38	0.298
Benzbromarone	0.336	0.291	0.38	0.583
Cobicistat (GS-9350)	0.336	0.089	0.38	0.292
PF-4981517	0.336	0.218	0.38	0.358
Ritonavir	0.336	0.251	0.38	0.246
Posaconazole	0.336	0.180	0.38	0.765
Miconazole 	0.336	0.187	0.38	0.420
Econazole nitrate 	0.336	0.179	0.38	0.410
Clotrimazole	0.336	0.383	0.38	0.593
Clarithromycin 	0.336	0.150	0.38	0.353
Butoconazole nitrate	0.336	0.278	0.38	0.451
Bifonazole	0.336	0.363	0.38	0.519
Fluconazole	0.336	0.300	0.38	0.408
Isoconazole nitrate 	0.336	0.341	0.38	0.438
Miconazole Nitrate	0.336	0.299	0.38	0.387
Sertaconazole nitrate	0.336	0.311	0.38	0.380
Sulconazole Nitrate	0.336	0.290	0.38	0.356
Voriconazole	0.336	0.326	0.38	0.350
Tioconazole	0.336	0.334	0.38	0.358
Itraconazole	0.336	0.976	0.38	0.992
Ketoconazole	0.336	0.419	0.38	0.404
A922500	0.336	0.253	0.38	0.379
SGI-1027	0.336	0.498	0.38	1.000
RG108	0.336	0.229	0.38	0.420
Decitabine	0.336	0.388	0.38	0.571
Zebularine	0.336	0.249	0.38	0.374
Azacitidine 	0.336	0.249	0.38	0.364
Lomeguatrib	0.336	0.269	0.38	0.564
NU7026	0.336	0.291	0.38	0.377
NU7441 (KU-57788)	0.336	0.135	0.38	0.590
PIK-75	0.336	0.908	0.38	0.856
RITA (NSC 652287)	0.336	0.744	0.38	0.843
Doxifluridine	0.336	0.294	0.38	0.344
Cytarabine	0.336	0.705	0.38	0.722
Nelarabine 	0.336	0.352	0.38	0.358
Gemcitabine 	0.336	0.810	0.38	0.804
Bleomycin Sulfate	0.336	0.751	0.38	0.743
Cyclocytidine HCl	0.336	0.659	0.38	0.639
Dacarbazine	0.336	0.386	0.38	0.339
Bendamustine HCl	0.336	0.386	0.38	0.327
8-Azaguanine	0.336	0.500	0.38	0.404
Temozolomide	0.336	0.420	0.38	0.248
Benserazide HCl	0.336	0.297	0.38	0.350
Carbidopa	0.336	0.331	0.38	0.370
Quetiapine Fumarate	0.336	0.135	0.38	0.359
Haloperidol 	0.336	0.208	0.38	0.410
Chlorprothixene	0.336	0.123	0.38	0.323
Dopamine HCl	0.336	0.233	0.38	0.384
Thioridazine HCl	0.336	0.162	0.38	0.308
Amantadine HCl	0.336	0.186	0.38	0.304
Droperidol	0.336	0.252	0.38	0.363
Loxapine Succinate	0.336	0.219	0.38	0.330
Pergolide mesylate	0.336	0.220	0.38	0.325
Ropinirole HCl	0.336	0.265	0.38	0.343
Azaperone	0.336	0.229	0.38	0.305
Levosulpiride	0.336	0.274	0.38	0.341
PD128907 HCl	0.336	0.293	0.38	0.353
Rotundine	0.336	0.306	0.38	0.365
Prochlorperazine Dimaleate	0.336	0.276	0.38	0.333
Domperidone 	0.336	0.256	0.38	0.305
Phenothiazine	0.336	0.343	0.38	0.368
Trifluoperazine 2HCl	0.336	0.362	0.38	0.384
Pramipexole	0.336	0.287	0.38	0.303
Alizapride HCl	0.336	0.343	0.38	0.331
Amisulpride	0.336	0.373	0.38	0.335
Penfluridol	0.336	0.196	0.38	0.326
Benztropine mesylate	0.336	0.253	0.38	0.422
SGC 0946	0.336	0.201	0.38	0.359
EPZ004777 HCl 	0.336	0.344	0.38	0.467
EPZ5676	0.336	0.395	0.38	0.353
Vildagliptin (LAF-237)	0.336	0.117	0.38	0.378
Sitagliptin phosphate monohydrate	0.336	0.239	0.38	0.357
Saxagliptin	0.336	0.298	0.38	0.374
Glimepiride	0.336	0.328	0.38	0.369
Alogliptin	0.336	0.366	0.38	0.387
Linagliptin	0.336	0.091	0.38	0.404
Gimeracil	0.336	0.315	0.38	0.408
Degrasyn (WP1130)	0.336	0.201	0.38	0.466
PR-619	0.336	0.187	0.38	0.374
LDN-57444	0.336	0.148	0.38	0.315
P22077	0.336	0.158	0.38	0.322
P5091 (P005091)	0.336	0.166	0.38	0.327
IU1	0.336	0.188	0.38	0.291
TCID	0.336	0.119	0.38	0.204
PYR-41	0.336	0.178	0.38	0.434
Mdivi-1	0.336	0.239	0.38	0.438
Dynasore	0.336	0.393	0.38	0.466
AZ191	0.336	0.098	0.38	0.232
ID-8	0.336	0.281	0.38	0.355
A-205804	0.336	0.394	0.38	0.357
BIX 01294	0.336	0.213	0.38	0.935
Camostat Mesilate	0.336	0.306	0.38	0.351
Ambrisentan	0.336	0.269	0.38	0.481
Sitaxentan sodium	0.336	0.199	0.38	0.361
Macitentan	0.336	0.246	0.38	0.356
Zibotentan (ZD4054)	0.336	0.328	0.38	0.371
Bosentan Hydrate	0.336	0.360	0.38	0.394
NVP-BHG712	0.336	0.212	0.38	0.849
Equol	0.336	0.171	0.38	0.406
Toremifene Citrate	0.336	0.142	0.38	0.364
Pregnenolone	0.336	0.082	0.38	0.275
Ulipristal	0.336	0.169	0.38	0.335
Hexestrol	0.336	0.179	0.38	0.323
Medroxyprogesterone acetate	0.336	0.094	0.38	0.220
Altrenogest	0.336	0.175	0.38	0.286
Estradiol	0.336	0.259	0.38	0.362
Estradiol valerate	0.336	0.244	0.38	0.346
Progesterone	0.336	0.245	0.38	0.337
Tamoxifen Citrate	0.336	0.284	0.38	0.372
Ethynodiol diacetate	0.336	0.290	0.38	0.376
Estriol	0.336	0.293	0.38	0.372
Mifepristone	0.336	0.236	0.38	0.308
Diethylstilbestrol	0.336	0.322	0.38	0.392
Dydrogesterone	0.336	0.268	0.38	0.337
Fulvestrant	0.336	0.262	0.38	0.315
Levonorgestrel 	0.336	0.306	0.38	0.342
Megestrol Acetate	0.336	0.226	0.38	0.257
Estrone	0.336	0.354	0.38	0.378
Mestranol	0.336	0.315	0.38	0.309
Bazedoxifene HCl	0.336	0.225	0.38	0.219
Ethinyl Estradiol	0.336	0.358	0.38	0.350
Drospirenone	0.336	0.294	0.38	0.281
Dienogest	0.336	0.360	0.38	0.340
Clomifene citrate 	0.336	0.325	0.38	0.283
Norethindrone	0.336	0.338	0.38	0.279
Raloxifene HCl	0.336	0.431	0.38	0.370
Gestodene	0.336	0.363	0.38	0.255
EPZ-6438	0.336	0.203	0.38	0.331
UNC1999	0.336	0.234	0.38	0.353
EPZ005687	0.336	0.222	0.38	0.316
3-Deazaneplanocin A (DZNeP)	0.336	0.160	0.38	0.438
Oligomycin A	0.336	0.148	0.38	0.253
PF-3845	0.336	0.108	0.38	0.739
JNJ-1661010	0.336	0.227	0.38	0.408
URB597	0.336	0.198	0.38	0.375
Biochanin A	0.336	0.356	0.38	0.319
Rivaroxaban	0.336	0.230	0.38	0.344
Apixaban	0.336	0.272	0.38	0.362
Edoxaban	0.336	0.338	0.38	0.672
PF-562271	0.336	0.425	0.38	0.592
PF-573228	0.336	0.278	0.38	0.435
PF-00562271	0.336	0.460	0.38	0.583
TAE226 (NVP-TAE226)	0.336	0.711	0.38	0.631
