expt_no	Cell_line	first_agent	conc_first_agent (uM)	first_agent_inhibition (%)	first_agent_stddev	second_agent	conc_second_agent (uM)	second_agent_inhibition (%)	second_agent_stddev	combo_observed Inhibition (%)	combo_stddev	bliss (%)	observed_bliss_diff
187	MDA-MB-231	XL-184	3	17.43	13.7697	Trifluoperazine	0.16	-23.43	2.5773	25.86	13.9644	-1.92	27.78
187	MDA-MB-231	Vismodegib	10	5.78	13.005	BX 513	10	46.44	9.288	77.29	7.729	49.54	27.75
187	MDA-MB-231	Vismodegib	10	3.3	16.203	BX 513	10	46.44	9.288	77.29	7.729	49.54	27.75
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	PF-431396	0.16	8.8	16.192	46.68	0.9336	19.23	27.45
187	MDA-MB-231	XL-184	3	17.43	13.7697	Orlistat	0.002	-9.13	17.9861	37.21	14.1398	9.89	27.32
187	MDA-MB-231	Crizotinib	1	34.56	10.368	ABT-263	1.25	29.69	2.969	81.28	1.6256	53.99	27.29
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Trifluoperazine	0.16	-23.43	2.5773	10.69	4.276	-16.3	26.99
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Trifluoperazine	0.16	-23.43	2.5773	10.69	4.276	-16.3	26.99
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	BI-2536	0.63	3.33	13.6863	41.12	4.112	14.39	26.73
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Atorvastatin	1.25	18.07	21.8647	54.06	1.6218	27.44	26.62
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Crizotinib	0.002	-8.12	3.4104	30.78	16.3134	4.25	26.53
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	GGTI-298	10	16.91	9.1314	52.88	2.1152	26.42	26.46
187	MDA-MB-231	XL-184	3	17.43	13.7697	CMPD-1	1.25	17.61	5.1069	58.39	5.2551	31.97	26.42
187	MDA-MB-231	Vismodegib	10	3.3	16.203	ABT-888	10	-2.01	17.6277	30.15	1.5075	3.89	26.26
187	MDA-MB-231	Vismodegib	10	5.78	13.005	ABT-888	10	-2.01	17.6277	30.15	1.5075	3.89	26.26
187	MDA-MB-231	XL-184	3	17.43	13.7697	Vandetanib	0.002	-7.94	6.1138	36.93	0.3693	10.87	26.06
187	MDA-MB-231	XL-184	3	17.43	13.7697	GDC-0941	0.02	-7.04	18.7968	37.42	10.1034	11.62	25.8
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	GDC-0941	0.02	-7.04	18.7968	24.36	15.3468	-1.2	25.56
187	MDA-MB-231	XL-184	3	17.43	13.7697	ES 936	0.08	-7.58	19.708	36.55	0.731	11.17	25.38
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	CMPD-1	1.25	17.61	5.1069	47.33	1.4199	22.11	25.22
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	5-fluorouracil	0.002	-21.01	16.3878	10.56	0.528	-14.4	24.96
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	YM155	0.002	61.78	15.445	91.1	0.911	66.15	24.95
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Crizotinib	0.002	-8.12	3.4104	22.81	1.3686	-1.87	24.68
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Crizotinib	0.002	-8.12	3.4104	22.81	1.3686	-1.87	24.68
187	MDA-MB-231	Vismodegib	10	3.3	16.203	BI-2536	0.63	3.33	13.6863	33.46	15.057	8.92	24.54
187	MDA-MB-231	Vismodegib	10	5.78	13.005	BI-2536	0.63	3.33	13.6863	33.46	15.057	8.92	24.54
187	MDA-MB-231	Crizotinib	1	34.56	10.368	Decitabine	0.002	-11.15	19.847	51.7	1.034	27.26	24.44
187	MDA-MB-231	Crizotinib	1	34.56	10.368	Bosutinib	10	30.33	2.7297	78.71	0.7871	54.41	24.3
187	MDA-MB-231	XL-184	3	17.43	13.7697	MK-1775	0.02	-4.17	10.4667	38.28	1.1484	13.99	24.29
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Cerulenin	0.02	-6.75	30.8475	23.67	4.2606	-0.58	24.25
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Cerulenin	0.02	-6.75	30.8475	23.67	4.2606	-0.58	24.25
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Sorafenib	0.16	-11.12	13.1216	25.82	2.3238	1.59	24.23
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	BI-2536	0.08	18.71	3.1807	52.14	0.5214	28.01	24.13
187	MDA-MB-231	XL-184	3	17.43	13.7697	5-nonyloxytryptamine oxalate	0.002	-9.45	13.986	33.71	9.1017	9.63	24.08
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	17-DMAG	0.02	-5.74	6.9454	36.16	7.232	12.26	23.9
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	PD173074	0.16	2.15	17.544	37.18	13.013	13.34	23.84
187	MDA-MB-231	Crizotinib	1	34.56	10.368	RO4929097	0.002	2.42	0.3146	59.95	11.99	36.14	23.81
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	Decitabine	10	3.96	13.3452	32.84	14.1212	9.2	23.64
187	MDA-MB-231	Vismodegib	10	5.78	13.005	JK 184	0.02	19.23	14.8071	47.48	10.9204	23.9	23.58
187	MDA-MB-231	Vismodegib	10	3.3	16.203	JK 184	0.02	19.23	14.8071	47.48	10.9204	23.9	23.58
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	PD173074	10	4.41	13.9356	38.76	10.8528	15.35	23.41
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	Oxaliplatin	10	4.16	31.1168	32.74	15.7152	9.39	23.35
187	MDA-MB-231	Vismodegib	10	3.3	16.203	GGTI-298	10	16.91	9.1314	45.05	3.1535	21.71	23.34
187	MDA-MB-231	Vismodegib	10	5.78	13.005	GGTI-298	10	16.91	9.1314	45.05	3.1535	21.71	23.34
187	MDA-MB-231	XL-184	3	17.43	13.7697	ABT-263	1.25	29.69	2.969	65.21	1.9563	41.95	23.26
187	MDA-MB-231	XL-184	3	17.43	13.7697	Orlistat	0.16	6.02	7.525	45.63	0.9126	22.4	23.23
187	MDA-MB-231	XL-184	3	17.43	13.7697	Orlistat	1.25	3.88	9.1956	43.83	0.8766	20.63	23.2
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	JQ1	0.16	5.99	2.0965	34.29	16.4592	11.12	23.17
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	MK-2206	0.02	-4.16	31.1584	36.61	14.2779	13.57	23.04
187	MDA-MB-231	Crizotinib	1	34.56	10.368	PX 12	0.16	-15.31	34.2944	47.55	5.706	24.54	23.01
187	MDA-MB-231	XL-184	3	17.43	13.7697	Verapamil	10	5.6	1.568	44.99	1.7996	22.05	22.94
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Etoposide	0.002	-0.88	6.864	33.53	7.3766	10.66	22.87
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Homoharringtonine	0.02	-2.74	0.137	26.07	11.2101	3.2	22.87
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Homoharringtonine	0.02	-2.74	0.137	26.07	11.2101	3.2	22.87
187	MDA-MB-231	XL-184	3	17.43	13.7697	PD-0332991	0.02	4.8	5.904	44.24	2.6544	21.39	22.85
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Oxaliplatin	10	4.16	31.1168	32.49	19.8189	9.7	22.79
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Oxaliplatin	10	4.16	31.1168	32.49	19.8189	9.7	22.79
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	PD173074	0.02	-1.87	10.1728	32.5	8.775	9.78	22.72
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	RO4929097	1.25	3.33	4.2957	36.75	18.0075	14.39	22.36
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	PX 12	0.16	-15.31	34.2944	20.23	1.2138	-2.12	22.35
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Embelin	10	2.46	4.2066	30.45	12.4845	8.1	22.35
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Embelin	10	2.46	4.2066	30.45	12.4845	8.1	22.35
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	GANT61	0.16	-11	9.68	17.32	14.3756	-4.94	22.26
187	MDA-MB-231	XL-184	3	17.43	13.7697	GDC-0941	0.002	2.33	12.4888	41.59	10.8134	19.35	22.24
187	MDA-MB-231	XL-184	3	17.43	13.7697	5-nonyloxytryptamine oxalate	10	29.21	0.5842	63.76	14.0272	41.55	22.21
187	MDA-MB-231	XL-184	3	17.43	13.7697	PF-431396	0.16	8.8	16.192	46.87	14.9984	24.7	22.17
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Vemurafenib	10	-0.66	3.0822	27.2	4.08	5.16	22.04
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Vemurafenib	10	-0.66	3.0822	27.2	4.08	5.16	22.04
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Oxaliplatin	1.25	-0.42	7.7364	27.38	2.738	5.38	22
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Oxaliplatin	1.25	-0.42	7.7364	27.38	2.738	5.38	22
187	MDA-MB-231	Crizotinib	1	34.56	10.368	RO4929097	0.16	-5.15	0	53.13	1.5939	31.19	21.94
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	Rapamycin	0.16	16.76	4.5252	52.83		30.93	21.9
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Crizotinib	0.02	-15.68	11.2896	19.3	24.318	-2.45	21.75
187	MDA-MB-231	Vismodegib	10	5.78	13.005	BRD-7389	1.25	25.3	7.084	51.35	9.7565	29.62	21.73
187	MDA-MB-231	Vismodegib	10	3.3	16.203	BRD-7389	1.25	25.3	7.084	51.35	9.7565	29.62	21.73
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	EHT-1864	1.25	-23.66	7.8078	19.1	16.808	-2.61	21.71
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	RO4929097	0.16	-5.15	0	22.27	7.7945	0.59	21.68
187	MDA-MB-231	Vismodegib	10	5.78	13.005	PD173074	10	4.41	13.9356	31.58	5.6844	9.94	21.64
187	MDA-MB-231	Vismodegib	10	3.3	16.203	PD173074	10	4.41	13.9356	31.58	5.6844	9.94	21.64
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	JK 184	0.02	19.23	14.8071	50.04	16.0128	28.47	21.57
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	PD173074	1.25	-4.82	22.3648	28.73	7.7571	7.17	21.56
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	Lapatinib	10	25.61	6.4025	59.73	10.7514	38.27	21.46
187	MDA-MB-231	XL-184	3	17.43	13.7697	PF 429242	10	-9.7	18.624	30.82	5.2394	9.42	21.4
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	ABT-263	10	74.34	5.2038	100.05	1.0005	78.71	21.34
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	RO4929097	0.02	-0.01	0.7987	26.78	8.034	5.45	21.33
187	MDA-MB-231	XL-184	3	17.43	13.7697	SB225002	0.002	2.98	7.2712	41.13	6.1695	19.89	21.24
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	ABT-888	10	-2.01	17.6277	30.88	8.3376	9.66	21.22
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	Trifluoperazine	0.16	-23.43	2.5773	4.44	20.9568	-16.69	21.13
187	MDA-MB-231	Vismodegib	10	5.78	13.005	AZD-8931	10	14.34	15.057	40.26	8.052	19.29	20.97
187	MDA-MB-231	Vismodegib	10	3.3	16.203	AZD-8931	10	14.34	15.057	40.26	8.052	19.29	20.97
187	MDA-MB-231	Crizotinib	1	34.56	10.368	Trifluoperazine	0.16	-23.43	2.5773	40.19	10.0475	19.23	20.96
187	MDA-MB-231	Vismodegib	10	3.3	16.203	EHT-1864	10	-18.13	26.8324	9.63	11.9412	-11.3	20.93
187	MDA-MB-231	Crizotinib	1	34.56	10.368	CMPD-1	0.16	-4.1	26.404	52.81	5.8091	31.88	20.93
187	MDA-MB-231	Vismodegib	10	5.78	13.005	EHT-1864	10	-18.13	26.8324	9.63	11.9412	-11.3	20.93
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Vorinostat	0.02	-15.52	9.0016	12.07	0.9656	-8.84	20.91
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Vorinostat	0.02	-15.52	9.0016	12.07	0.9656	-8.84	20.91
187	MDA-MB-231	XL-184	3	17.43	13.7697	Verapamil	0.16	-1.26	2.6082	37.27	21.6166	16.39	20.88
187	MDA-MB-231	XL-184	3	17.43	13.7697	NVP-LDE225	0.02	-18.02	18.2002	23.43	22.7271	2.55	20.88
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Vemurafenib	10	-0.66	3.0822	31.62	9.1698	10.86	20.76
187	MDA-MB-231	XL-184	3	17.43	13.7697	Dasatinib	0.02	1.25	4.35	39.21	9.8025	18.46	20.75
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Tozasertib	1.25	5.27	7.1672	31.45	10.693	10.75	20.7
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Tozasertib	1.25	5.27	7.1672	31.45	10.693	10.75	20.7
187	MDA-MB-231	XL-184	3	17.43	13.7697	BI-2536	0.63	3.33	13.6863	40.82	17.9608	20.18	20.64
187	MDA-MB-231	XL-184	3	17.43	13.7697	Oxaliplatin	10	4.16	31.1168	41.5	16.185	20.86	20.64
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Etoposide	1.25	3.82	18.2978	35.38	12.0292	14.82	20.56
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Vinorelbine	0.16	39.94	13.979	63.86	3.8316	43.41	20.45
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Vinorelbine	0.16	39.94	13.979	63.86	3.8316	43.41	20.45
187	MDA-MB-231	XL-184	3	17.43	13.7697	ABT-888	10	-2.01	17.6277	36.19	4.3428	15.77	20.42
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	PX 12	0.16	-15.31	34.2944	24.72	3.2136	4.32	20.4
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Tivantinib	0.16	7.12	2.9192	38.15	8.0115	17.75	20.4
187	MDA-MB-231	XL-184	3	17.43	13.7697	Sorafenib	0.002	-9.32	16.5896	30.08	5.4144	9.73	20.35
187	MDA-MB-231	XL-184	3	17.43	13.7697	BI-D1870	10	7.59	2.8083	44.03	0.4403	23.7	20.33
187	MDA-MB-231	XL-184	3	17.43	13.7697	PF-431396	1.25	14.71	26.6251	49.9	3.493	29.58	20.32
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	CMPD-1	1.25	17.61	5.1069	47.26	22.2122	27.04	20.22
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Trametinib	0.01	32.07	9.3003	56.14	0	36	20.14
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Trametinib	0.01	32.07	9.3003	56.14	0	36	20.14
187	MDA-MB-231	Vismodegib	10	5.78	13.005	5-fluorouracil	0.002	-21.01	16.3878	6.1	2.196	-14.02	20.12
187	MDA-MB-231	Vismodegib	10	3.3	16.203	5-fluorouracil	0.002	-21.01	16.3878	6.1	2.196	-14.02	20.12
187	MDA-MB-231	XL-184	3	17.43	13.7697	Trifluorothymidine	1.25	-14.74	19.3094	25.31	4.5558	5.26	20.05
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	PF 429242	1.25	-15.96	20.1096	23.79	20.4594	3.78	20.01
187	MDA-MB-231	XL-184	3	17.43	13.7697	Ritonavir	1.25	-16.78	5.7052	23.54	11.77	3.57	19.97
187	MDA-MB-231	Vismodegib	10	5.78	13.005	ABT-263	0.16	-4.3	9.245	21.69	3.4704	1.73	19.96
187	MDA-MB-231	Vismodegib	10	3.3	16.203	ABT-263	0.16	-4.3	9.245	21.69	3.4704	1.73	19.96
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Decitabine	0.002	-11.15	19.847	21.52	5.5952	1.57	19.95
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Dasatinib	0.02	1.25	4.35	32.26	8.065	12.55	19.71
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	ABT-263	0.16	-4.3	9.245	33.07	1.6535	13.45	19.62
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Tipifarnib	0.16	9.51	19.971	39.42	5.5188	19.86	19.56
187	MDA-MB-231	Vismodegib	10	3.3	16.203	EHT-1864	1.25	-23.66	7.8078	3	18.27	-16.51	19.51
187	MDA-MB-231	Vismodegib	10	5.78	13.005	EHT-1864	1.25	-23.66	7.8078	3	18.27	-16.51	19.51
187	MDA-MB-231	XL-184	3	17.43	13.7697	2-deoxy-D-glucose	1000	3.53	6.9894	39.81	7.1658	20.34	19.47
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	NVP-TAE684	1.25	34.42	8.9492	61.33	3.6798	41.92	19.41
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	Vandetanib	0.002	-7.94	6.1138	29.79	8.6391	10.43	19.36
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	EHT-1864	10	-18.13	26.8324	14.73	6.9231	-4.62	19.35
187	MDA-MB-231	Crizotinib	1	34.56	10.368	ABT-263	0.16	-4.3	9.245	51.07	10.214	31.75	19.32
187	MDA-MB-231	XL-184	3	17.43	13.7697	Carfilzomib	0.002	-15.18	30.2082	24.19	2.1771	4.9	19.29
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	NH125	0.002	-16.39	11.8008	9.23	5.3534	-10.04	19.27
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	Dapagliflozin	10	4.87	2.0941	29.28	14.3472	10.06	19.22
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Nelfinavir	1.25	4.66	12.5354	34.78	10.0862	15.57	19.21
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Tipifarnib	10	27.64	13.2672	55.1	12.673	35.92	19.18
187	MDA-MB-231	XL-184	3	17.43	13.7697	5-fluorouracil	0.002	-21.01	16.3878	19.21	12.1023	0.08	19.13
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Hydroxychloroquine	0.16	-10.76	13.8804	14.77	6.3511	-4.36	19.13
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Hydroxychloroquine	0.16	-10.76	13.8804	14.77	6.3511	-4.36	19.13
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	WZ4002	0.16	-26.19	22.2615	14.38	4.8892	-4.71	19.09
187	MDA-MB-231	Vismodegib	10	5.78	13.005	ABT-888	1.25	1.09	15.9576	25.86	8.7924	6.81	19.05
187	MDA-MB-231	Vismodegib	10	3.3	16.203	ABT-888	1.25	1.09	15.9576	25.86	8.7924	6.81	19.05
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Etoposide	0.002	-0.88	6.864	23.98	3.1174	4.95	19.03
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Etoposide	0.002	-0.88	6.864	23.98	3.1174	4.95	19.03
187	MDA-MB-231	XL-184	3	17.43	13.7697	SN-38	0.16	27.77	9.1641	59.38	2.969	40.36	19.02
187	MDA-MB-231	Vismodegib	10	5.78	13.005	AZD-8931	0.002	-2	3.44	22.92	4.1256	3.9	19.02
187	MDA-MB-231	Vismodegib	10	3.3	16.203	AZD-8931	0.002	-2	3.44	22.92	4.1256	3.9	19.02
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	Trifluorothymidine	1.25	-14.74	19.3094	10.51	10.0896	-8.48	18.99
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Temsirolimus	10	-1.82	9.9554	23.06	3.9202	4.07	18.99
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Temsirolimus	10	-1.82	9.9554	23.06	3.9202	4.07	18.99
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	MLN-8237	0.16	12.41	2.9784	35.95	8.628	17.19	18.76
187	MDA-MB-231	XL-184	3	17.43	13.7697	WZ4002	10	-17.76	27.1728	21.49	24.7135	2.77	18.72
187	MDA-MB-231	Crizotinib	1	34.56	10.368	Thioridazine	10	10.96	1.644	60.43	7.2516	41.73	18.7
187	MDA-MB-231	Crizotinib	1	34.56	10.368	NVP-231	0.02	2.85	21.1185	55.11	0.5511	36.43	18.68
187	MDA-MB-231	Vismodegib	10	3.3	16.203	GDC-0941	0.02	-7.04	18.7968	17.82	0.7128	-0.85	18.67
187	MDA-MB-231	Vismodegib	10	5.78	13.005	GDC-0941	0.02	-7.04	18.7968	17.82	0.7128	-0.85	18.67
187	MDA-MB-231	XL-184	3	17.43	13.7697	CYT-387	1.25	-0.97	8.1771	35.27	25.0417	16.63	18.64
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	AZD-4547	10	22.43	0.2243	49.83	8.9694	31.3	18.53
187	MDA-MB-231	XL-184	3	17.43	13.7697	5-fluorouracil	0.02	-16.08	1.9296	22.66	12.463	4.15	18.51
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	GGTI-298	10	16.91	9.1314	39.96	13.1868	21.45	18.51
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	CYT-387	1.25	-0.97	8.1771	29.08	1.7448	10.58	18.5
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Lapatinib	10	25.61	6.4025	48.4	8.712	29.91	18.49
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Lapatinib	10	25.61	6.4025	48.4	8.712	29.91	18.49
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Stattic	1.25	5.81	18.1853	35.04	16.1184	16.59	18.45
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Rapamycin	0.02	1.73	16.089	31.39	5.6502	12.97	18.42
187	MDA-MB-231	Crizotinib	1	34.56	10.368	ABT-888	10	-2.01	17.6277	51.65	11.363	33.24	18.41
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	CIP 13-74	1.25	40.31	24.5891	65.49	1.9647	47.14	18.35
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	SN-38	0.16	27.77	9.1641	54.35	0.5435	36.03	18.32
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	MK-2206	1.25	6.72	11.424	35.66	12.481	17.39	18.27
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	Bosutinib	0.02	0.69	33.3201	24.32	18.7264	6.11	18.21
187	MDA-MB-231	XL-184	3	17.43	13.7697	Carboplatin	0.02	3.72	9.4116	38.7	8.127	20.5	18.2
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Tozasertib	10	33.79	1.3516	55.82	2.791	37.62	18.2
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Tozasertib	10	33.79	1.3516	55.82	2.791	37.62	18.2
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Etoposide	10	30.72	9.5232	56.82	8.523	38.65	18.17
187	MDA-MB-231	XL-184	3	17.43	13.7697	Embelin	0.02	-6.63	3.8454	30.09	0.9027	11.96	18.13
187	MDA-MB-231	XL-184	3	17.43	13.7697	Bosutinib	10	30.33	2.7297	60.6	4.242	42.47	18.13
