Cellline	Drug	Dose	Inhibition
UACC62	Wnti	0.5	43.53611034
UACC62	XAV939	2	94.78985795
UACC62	XAV939	10	71.33063047
UACC62	ZM336372	2	95.19954862
UACC62	ZM336372	10	83.81257662
SkMel28	Bexarotene	2	74.26151283
SkMel28	Bexarotene	10	106.5599968
SkMel28	Bortezomib	0.001	72.14275711
SkMel28	Bortezomib	0.005	28.31579621
SkMel28	cisplatin	1.6	38.57548563
SkMel28	cisplatin	8	80.52813574
SkMel28	CP690550	1	132.8535226
SkMel28	CP690550	5	119.0613583
SkMel28	Crizotinib/PF2341066	0.2	93.88272295
SkMel28	Crizotinib/PF2341066	1	50.40609986
SkMel28	dasatanib	0.004	92.10193166
SkMel28	dasatanib	0.02	79.95273915
SkMel28	decitabine	0.1	62.46338306
SkMel28	decitabine	0.5	71.852985
SkMel28	Docetaxel	1e-04	75.77275544
SkMel28	Docetaxel	5e-04	15.4329906
SkMel28	erlotinib	0.8	154.7345
SkMel28	erlotinib	4	65.27232121
SkMel28	etoposide	0.02	32.75485755
SkMel28	etoposide	0.1	92.79050953
SkMel28	everolimus	0.02	604.4168014
SkMel28	everolimus	0.1	48.67289767
SkMel28	fingolimod	2	77.34207783
SkMel28	fingolimod	10	1.374399998
SkMel28	fludarabine	0.2	91.75683595
SkMel28	fludarabine	1	4.583208392
SkMel28	gemcitabine	4e-04	49.56246269
SkMel28	gemcitabine	0.002	79.18614217
SkMel28	ruxolitinib	1	107.8375076
SkMel28	ruxolitinib	5	95.30176047
SkMel28	lapatinib	0.8	152.8471756
SkMel28	lapatinib	4	74.81522809
SkMel28	lenalidomide	1	96.03052314
SkMel28	lenalidomide	5	56.98235058
SkMel28	nilotinib	0.2	142.2707535
SkMel28	nilotinib	1	94.9606351
SkMel28	nilutamide	1	43.95148847
SkMel28	nilutamide	5	138.9867982
SkMel28	Pazopanib	0.4	143.0964128
SkMel28	Pazopanib	2	119.2457107
SkMel28	pioglitazone	2	61.34943664
SkMel28	pioglitazone	10	73.33139933
SkMel28	PLX4720	0.08	36.29274591
SkMel28	PLX4720	0.4	61.99317725
SkMel28	sorafenib	0.4	72.41461242
SkMel28	sorafenib	2	143.2416432
SkMel28	stibogluconate	2	83.87696658
SkMel28	stibogluconate	10	135.504637
SkMel28	sunitinib	0.4	78.30857984
SkMel28	sunitinib	2	45.60180389
SkMel28	temozolomide	2	86.57374193
SkMel28	temozolomide	10	33.85292256
SkMel28	vincristine	1e-04	86.19428742
SkMel28	vincristine	5e-04	84.85092224
SkMel28	vismodegib/GDC0449	1	121.7447301
SkMel28	vismodegib/GDC0449	5	79.46947198
SkMel28	vorinostat/SAHA	0.08	549.4278232
SkMel28	vorinostat/SAHA	0.4	66.1728537
SkMel28	AZD7762	0.02	116.2407593
SkMel28	AZD7762	0.1	42.04500527
SkMel28	CHIR265	0.08	114.6024693
SkMel28	CHIR265	0.4	32.82099879
SkMel28	IMD0354	0.016	83.75288055
SkMel28	IMD0354	0.08	91.13059567
SkMel28	Nutlin-3	0.1	50.95848059
SkMel28	Nutlin-3	0.5	55.09571019
SkMel28	OSU03012	1	133.1090452
SkMel28	OSU03012	5	22.80446437
SkMel28	PF04217903	1	167.3189696
SkMel28	PF04217903	5	99.6139764
SkMel28	PF562271	0.08	149.2790809
SkMel28	PF562271	0.4	56.3200097
SkMel28	SNS-032	0.01	138.3970972
SkMel28	SNS-032	0.05	62.69892948
SkMel28	SNS314	8e-04	161.1484633
SkMel28	SNS314	0.004	38.3772674
SkMel28	ABT263	0.4	59.26789599
SkMel28	ABT263	2	79.34708214
SkMel28	bivanib/BI2536	0.001	210.8575342
SkMel28	bivanib/BI2536	0.005	40.73168839
SkMel28	CX4945	0.4	88.72872093
SkMel28	CX4945	2	58.28877462
SkMel28	Darinaparsin	0.4	67.20230152
SkMel28	Darinaparsin	2	59.90894527
SkMel28	ENMD2076	0.04	79.71539214
SkMel28	ENMD2076	0.2	59.97274891
SkMel28	EX527	2	35.37474745
SkMel28	EX527	10	75.0581527
SkMel28	FK866	0.01	69.4086035
SkMel28	FK866	0.05	132.1688099
SkMel28	Indole-3-carbinol	0.8	153.6186801
SkMel28	Indole-3-carbinol	4	189.0899702
SkMel28	Lestaurtinib	0.004	37.79936168
SkMel28	Lestaurtinib	0.02	56.06326567
SkMel28	MK1775	0.02	42.80465742
SkMel28	MK1775	0.1	44.35627255
SkMel28	MK2206	0.4	197.2085009
SkMel28	MK2206	2	38.64295164
SkMel28	NVP-BEZ235	0.004	103.3162771
SkMel28	NVP-BEZ235	0.02	41.65823177
SkMel28	RKI983	0.4	52.64666409
SkMel28	RKI983	2	105.4216854
SkMel28	selumetinib/AZD6244	0.015	76.68483809
SkMel28	selumetinib/AZD6244	0.075	55.12065243
SkMel28	Tideglusib/TZDZ-8	0.4	114.9196345
SkMel28	Tideglusib/TZDZ-8	2	127.4233826
SkMel28	Tozasertib/VX680	0.006	46.07289319
SkMel28	Tozasertib/VX680	0.03	77.65215901
SkMel28	Veliparib/ABT888	1.4	115.8751243
SkMel28	Veliparib/ABT888	7	83.514017
SkMel28	VX702	0.4	43.94359066
SkMel28	VX702	2	92.35821718
SkMel28	XL147	0.8	78.06714155
SkMel28	XL147	4	99.19463856
SkMel28	YM155	4e-04	155.9784706
SkMel28	YM155	0.002	70.33305805
SkMel28	cediranib/AZD2171	0.4	55.58305332
SkMel28	cediranib/AZD2171	2	84.23490438
SkMel28	Dovitinib/CHIR-258	0.1	39.30223739
SkMel28	Dovitinib/CHIR-258	0.5	63.5154177
SkMel28	Enzastaurin	0.8	78.82957087
SkMel28	Enzastaurin	4	116.7418958
SkMel28	Midostaurin/PKC412	0.08	36.70810014
SkMel28	Midostaurin/PKC412	0.4	36.60181729
SkMel28	OSI906	0.4	159.1605409
SkMel28	OSI906	2	103.0935521
SkMel28	palbociclib/PD332991	0.04	80.77496612
SkMel28	palbociclib/PD332991	0.2	42.86421345
SkMel28	Perifosine	0.4	73.21148117
SkMel28	Perifosine	2	105.1171615
SkMel28	STA4783	0.006	53.70405509
SkMel28	STA4783	0.03	20.42963358
SkMel28	Tamatinib/R406	0.4	70.23789644
SkMel28	Tamatinib/R406	2	94.45193903
SkMel28	Tanespimycin/17-AAG	0.002	40.8273721
SkMel28	Tanespimycin/17-AAG	0.01	98.17956208
SkMel28	tipifarnib	0.01	148.5128408
SkMel28	tipifarnib	0.05	77.00439228
SkMel28	vatalanib/PTK787	2	41.48713898
SkMel28	vatalanib/PTK787	10	102.2392578
SkMel28	A769662	2	79.09008332
SkMel28	A769662	10	102.645502
SkMel28	AS252424	1	310.3759227
SkMel28	AS252424	5	112.2562575
SkMel28	BI78D3	0.2	81.42867286
SkMel28	BI78D3	1	85.8335393
SkMel28	BID1870	0.2	36.66411707
SkMel28	BID1870	1	72.53075448
SkMel28	BMS536924	0.2	48.66215317
SkMel28	BMS536924	1	63.93545511
SkMel28	C75	1	49.52887252
SkMel28	C75	5	98.71091423
SkMel28	Dorsomorphin	0.4	100.584025
SkMel28	Dorsomorphin	2	69.00005517
SkMel28	Embelin	1.2	49.79747606
SkMel28	Embelin	6	65.67377976
SkMel28	FH535	1	95.65864414
SkMel28	FH535	5	40.54319776
SkMel28	GSK0660	1	169.0711541
SkMel28	GSK0660	5	76.26099634
SkMel28	GSK650394	0.16	71.46207622
SkMel28	GSK650394	0.8	101.2810203
SkMel28	GW0742	2	92.53894178
SkMel28	GW0742	10	98.27461205
SkMel28	GW2580	1	116.890126
SkMel28	GW2580	5	120.4959415
SkMel28	GW441756	0.4	86.10850261
SkMel28	GW441756	2	99.89179269
SkMel28	GW9662	2	96.07769126
SkMel28	GW9662	10	73.98237597
SkMel28	HIF-1i	2	16.40593078
SkMel28	HIF-1i	10	94.56623893
SkMel28	IPA3	0.8	119.1843218
SkMel28	IPA3	4	82.88159484
SkMel28	JNK5a	0.008	39.31275673
SkMel28	JNK5a	0.04	91.55871082
SkMel28	JZL184	1	119.1814099
SkMel28	JZL184	5	98.06806733
SkMel28	KU0063794	0.02	31.66031138
SkMel28	KU0063794	0.1	105.7275894
SkMel28	KU55933	1	125.8304597
SkMel28	KU55933	5	88.86257389
SkMel28	L779450	0.2	140.2432185
SkMel28	L779450	1	29.61179405
SkMel28	LFM-A13	2	121.4671466
SkMel28	LFM-A13	10	78.60468539
SkMel28	LSN415169	1	101.1975671
SkMel28	LSN415169	5	63.46365794
SkMel28	NVP-TAE684	0.08	147.6093388
SkMel28	NVP-TAE684	0.4	79.48303548
SkMel28	PD173074	0.1	107.1415023
SkMel28	PD173074	0.5	115.4277752
SkMel28	PIM-1 4a	2	105.6784926
SkMel28	PIM-1 4a	10	84.08362733
SkMel28	QS11	1	76.78230883
SkMel28	QS11	5	68.32741608
SkMel28	SrcI1	2	173.4152401
SkMel28	SrcI1	10	56.30124567
SkMel28	SU6656	0.4	33.16842224
SkMel28	SU6656	2	57.52812361
SkMel28	T0901317	1.4	69.8064071
SkMel28	T0901317	7	94.00313892
SkMel28	TCS401	1.666666667	113.9573386
SkMel28	TCS401	8.333333333	96.67076266
SkMel28	Tie2i	1	40.1683522
SkMel28	Tie2i	5	115.5051852
SkMel28	U73122	0.4	126.0001516
SkMel28	U73122	2	93.99998805
SkMel28	vasastrol	0.4	32.62107763
SkMel28	vasastrol	2	95.51810703
SkMel28	Wnti	0.1	1602.66522
SkMel28	Wnti	0.5	8.313740245
SkMel28	XAV939	2	92.39719648
SkMel28	XAV939	10	75.55901227
SkMel28	ZM336372	2	55.40487882
SkMel28	ZM336372	10	72.09638782
WM3526	Bexarotene	2	94.01478947
WM3526	Bexarotene	10	119.5591686
WM3526	Bortezomib	0.001	114.3598295
WM3526	Bortezomib	0.005	29.12477771
WM3526	cisplatin	1.6	95.48154893
WM3526	cisplatin	8	80.60524864
WM3526	CP690550	1	92.39175556
WM3526	CP690550	5	109.9375951
WM3526	Crizotinib/PF2341066	0.2	85.52950167
WM3526	Crizotinib/PF2341066	1	63.09454309
WM3526	dasatanib	0.004	90.39033981
WM3526	dasatanib	0.02	101.972679
WM3526	decitabine	0.1	103.1304134
WM3526	decitabine	0.5	118.2925668
WM3526	Docetaxel	1e-04	54.1906033
WM3526	Docetaxel	5e-04	29.01881881
WM3526	erlotinib	0.8	95.43988742
WM3526	erlotinib	4	93.13833378
WM3526	etoposide	0.02	108.2401002
WM3526	etoposide	0.1	83.66475951
WM3526	everolimus	0.02	72.3230034
WM3526	everolimus	0.1	76.10570938
WM3526	fingolimod	2	83.32557253
WM3526	fingolimod	10	13.82845982
WM3526	fludarabine	0.2	29.28646892
WM3526	fludarabine	1	18.34350901
WM3526	gemcitabine	4e-04	106.9053628
WM3526	gemcitabine	0.002	92.31291829
WM3526	ruxolitinib	1	107.1186278
WM3526	ruxolitinib	5	125.8448592
WM3526	lapatinib	0.8	120.2154496
WM3526	lapatinib	4	68.50132089
WM3526	lenalidomide	1	98.66851014
WM3526	lenalidomide	5	75.03962186
WM3526	nilotinib	0.2	98.7050934
WM3526	nilotinib	1	77.70960363
WM3526	nilutamide	1	107.7880031
WM3526	nilutamide	5	98.99564583
WM3526	Pazopanib	0.4	98.9680584
WM3526	Pazopanib	2	99.96270942
WM3526	pioglitazone	2	85.74296028
WM3526	pioglitazone	10	88.14208157
WM3526	PLX4720	0.08	87.20928614
WM3526	PLX4720	0.4	62.29164773
WM3526	sorafenib	0.4	89.3998947
WM3526	sorafenib	2	92.95168032
WM3526	stibogluconate	2	69.73060779
WM3526	stibogluconate	10	91.44065004
WM3526	sunitinib	0.4	105.5058117
WM3526	sunitinib	2	59.3363092
WM3526	temozolomide	2	83.80093349
WM3526	temozolomide	10	87.70728605
WM3526	vincristine	1e-04	93.26077145
WM3526	vincristine	5e-04	72.16667425
WM3526	vismodegib/GDC0449	1	78.72984231
WM3526	vismodegib/GDC0449	5	87.88513105
WM3526	vorinostat/SAHA	0.08	94.76953691
WM3526	vorinostat/SAHA	0.4	88.1971006
WM3526	AZD7762	0.02	91.90572387
WM3526	AZD7762	0.1	63.77989566
WM3526	CHIR265	0.08	77.81712051
WM3526	CHIR265	0.4	44.11024173
WM3526	IMD0354	0.016	87.34231679
WM3526	IMD0354	0.08	97.5364668
WM3526	Nutlin-3	0.1	133.3606165
WM3526	Nutlin-3	0.5	96.8340081
WM3526	OSU03012	1	40.86770714
WM3526	OSU03012	5	54.34305927
WM3526	PF04217903	1	104.4051413
WM3526	PF04217903	5	92.20281932
WM3526	PF562271	0.08	98.40610858
WM3526	PF562271	0.4	95.40253062
WM3526	SNS-032	0.01	98.02474208
WM3526	SNS-032	0.05	108.8596041
WM3526	SNS314	8e-04	95.33386524
WM3526	SNS314	0.004	88.66249945
WM3526	ABT263	0.4	118.3106158
WM3526	ABT263	2	112.0704382
WM3526	bivanib/BI2536	0.001	67.090868
WM3526	bivanib/BI2536	0.005	26.49922186
WM3526	CX4945	0.4	83.07857964
WM3526	CX4945	2	69.63612058
WM3526	Darinaparsin	0.4	119.6199014
WM3526	Darinaparsin	2	79.94833808
WM3526	ENMD2076	0.04	113.0909027
WM3526	ENMD2076	0.2	131.4921914
WM3526	EX527	2	117.2490941
WM3526	EX527	10	92.04447716
WM3526	FK866	0.01	127.2470215
WM3526	FK866	0.05	141.986121
WM3526	Indole-3-carbinol	0.8	105.0250967
WM3526	Indole-3-carbinol	4	129.6111756
WM3526	Lestaurtinib	0.004	104.5155598
WM3526	Lestaurtinib	0.02	67.25956151
WM3526	MK1775	0.02	94.87182665
WM3526	MK1775	0.1	82.44871626
WM3526	MK2206	0.4	74.58738556
WM3526	MK2206	2	57.56797807
WM3526	NVP-BEZ235	0.004	104.171839
WM3526	NVP-BEZ235	0.02	62.4258176
WM3526	RKI983	0.4	133.0069235
WM3526	RKI983	2	83.74236716
WM3526	selumetinib/AZD6244	0.015	107.5771609
WM3526	selumetinib/AZD6244	0.075	55.94036123
WM3526	Tideglusib/TZDZ-8	0.4	90.31338571
WM3526	Tideglusib/TZDZ-8	2	96.05922365
WM3526	Tozasertib/VX680	0.006	93.03057691
WM3526	Tozasertib/VX680	0.03	74.292647
WM3526	Veliparib/ABT888	1.4	87.15944507
WM3526	Veliparib/ABT888	7	84.48370787
WM3526	VX702	0.4	114.0050127
WM3526	VX702	2	89.15872934
WM3526	XL147	0.8	97.39079898
WM3526	XL147	4	79.92714169
WM3526	YM155	4e-04	100.0544411
WM3526	YM155	0.002	27.87967138
WM3526	cediranib/AZD2171	0.4	88.85532844
WM3526	cediranib/AZD2171	2	80.90844959
WM3526	Dovitinib/CHIR-258	0.1	110.3663191
WM3526	Dovitinib/CHIR-258	0.5	77.64157274
WM3526	Enzastaurin	0.8	88.00505172
WM3526	Enzastaurin	4	86.59221135
WM3526	Midostaurin/PKC412	0.08	86.75155271
WM3526	Midostaurin/PKC412	0.4	91.63485888
WM3526	OSI906	0.4	101.1608337
WM3526	OSI906	2	76.60202111
WM3526	palbociclib/PD332991	0.04	73.56999186
WM3526	palbociclib/PD332991	0.2	65.77214796
WM3526	Perifosine	0.4	91.02311535
WM3526	Perifosine	2	92.52171066
WM3526	STA4783	0.006	103.6425983
WM3526	STA4783	0.03	96.98450518
WM3526	Tamatinib/R406	0.4	99.44663191
WM3526	Tamatinib/R406	2	79.25421968
WM3526	Tanespimycin/17-AAG	0.002	116.3838288
WM3526	Tanespimycin/17-AAG	0.01	80.84323489
WM3526	tipifarnib	0.01	85.03458296
WM3526	tipifarnib	0.05	74.30998651
WM3526	vatalanib/PTK787	2	98.0287858
WM3526	vatalanib/PTK787	10	76.06495574
WM3526	A769662	2	106.4114398
WM3526	A769662	10	85.49403373
WM3526	AS252424	1	100.2204725
WM3526	AS252424	5	78.57768459
WM3526	BI78D3	0.2	95.42275398
WM3526	BI78D3	1	100.8314297
WM3526	BID1870	0.2	88.11421848
WM3526	BID1870	1	68.03249941
WM3526	BMS536924	0.2	84.5258023
WM3526	BMS536924	1	85.99492627
WM3526	C75	1	106.7725076
WM3526	C75	5	103.4866154
WM3526	Dorsomorphin	0.4	93.27381719
WM3526	Dorsomorphin	2	80.47812389
WM3526	Embelin	1.2	93.83257642
WM3526	Embelin	6	81.35660759
WM3526	FH535	1	107.0928701
WM3526	FH535	5	70.99697118
WM3526	GSK0660	1	85.79491359
WM3526	GSK0660	5	81.6195813
WM3526	GSK650394	0.16	101.3503588
WM3526	GSK650394	0.8	97.24141307
WM3526	GW0742	2	120.1364795
WM3526	GW0742	10	96.80671047
WM3526	GW2580	1	104.4665606
WM3526	GW2580	5	88.98409345
WM3526	GW441756	0.4	113.0029457
WM3526	GW441756	2	106.9720988
WM3526	GW9662	2	117.2017153
WM3526	GW9662	10	99.6529012
WM3526	HIF-1i	2	86.50977319
WM3526	HIF-1i	10	77.96590161
WM3526	IPA3	0.8	100.2966365
WM3526	IPA3	4	96.4262832
WM3526	JNK5a	0.008	104.3930488
WM3526	JNK5a	0.04	77.71588332
WM3526	JZL184	1	87.00066257
WM3526	JZL184	5	93.49693727
WM3526	KU0063794	0.02	91.16264001
WM3526	KU0063794	0.1	109.2389017
WM3526	KU55933	1	91.19955485
WM3526	KU55933	5	77.44141912
WM3526	L779450	0.2	91.7152528
WM3526	L779450	1	53.81216533
WM3526	LFM-A13	2	87.58785195
WM3526	LFM-A13	10	84.58411622
WM3526	LSN415169	1	101.7063537
WM3526	LSN415169	5	92.736763
WM3526	NVP-TAE684	0.08	83.43038736
WM3526	NVP-TAE684	0.4	72.19705738
WM3526	PD173074	0.1	101.9707058
WM3526	PD173074	0.5	100.9333356
WM3526	PIM-1 4a	2	98.2062258
WM3526	PIM-1 4a	10	95.39295294
WM3526	QS11	1	88.79098178
WM3526	QS11	5	82.76854807
WM3526	SrcI1	2	92.2157612
WM3526	SrcI1	10	60.60653852
WM3526	SU6656	0.4	111.7728814
WM3526	SU6656	2	74.36103385
WM3526	T0901317	1.4	88.06887993
WM3526	T0901317	7	100.3798903
WM3526	TCS401	1.666666667	90.46096236
WM3526	TCS401	8.333333333	85.3833481
WM3526	Tie2i	1	92.96779546
WM3526	Tie2i	5	113.9505306
WM3526	U73122	0.4	82.00121369
WM3526	U73122	2	85.23491007
WM3526	vasastrol	0.4	93.0945798
WM3526	vasastrol	2	82.41396177
WM3526	Wnti	0.1	56.49647536
WM3526	Wnti	0.5	26.78447908
WM3526	XAV939	2	101.4049743
WM3526	XAV939	10	93.92529301
WM3526	ZM336372	2	96.99562851
WM3526	ZM336372	10	85.22122655
SkMel5	Bexarotene	2	102.2544354
SkMel5	Bexarotene	10	113.563978
SkMel5	Bortezomib	0.001	90.2047508
SkMel5	Bortezomib	0.005	19.23672
SkMel5	cisplatin	1.6	144.6127707
SkMel5	cisplatin	8	90.63946954
SkMel5	CP690550	1	59.84354867
SkMel5	CP690550	5	93.64379442
SkMel5	Crizotinib/PF2341066	0.2	79.38531034
SkMel5	Crizotinib/PF2341066	1	81.68892208
SkMel5	dasatanib	0.004	122.5495637
SkMel5	dasatanib	0.02	62.71935769
