expt_no	cell_line	inhibition_calc_method	first_agent	conc_first_agent	first_agent_inhibition	first_agent_stddev	second_agent	conc_second_agent	second_agent_inhibition	second_agent_stddev	combo_observed	combo_stddev	bliss	observed_bliss_diff
257	SU-86-86	41	Pemetrexed	0.0184	3.22	4.1538	Simvastatin	1	5.93	3.0836	86.81	0.8681	8.96	77.85
260	PL45	41	BRD-7389	0.6297	-14.32	9.308	Dovitinib	0.1165	-25.72	3.0864	33.99	2.0394	-43.72	77.71
260	PL45	41	Flavopiridol	0.1381	5.92	9.5312	Vorinostat	0.4261	-16.32	3.9168	68.28	4.7796	-9.43	77.71
260	PL45	41	SB225002	0.22	-14.22	5.9724	Vorinostat	0.4261	-16.32	3.9168	44.6	4.906	-32.86	77.46
257	SU-86-86	41	MLN-8237	0.0162	2.44	6.954	SB225002	0.22	-0.17	6.9496	79.41	3.9705	2.27	77.14
251	MiaPaCa-2	41	GSK650394A	1.1269	-1.09	20.1432	MK-2206	0.1602	-11.27	13.7494	64.66	3.8796	-12.48	77.14
260	PL45	41	Oligomycin	7.4095	16.48	5.768	Thapsigargin	0.01	-14.38	5.6082	81.55	0.8155	4.47	77.08
252	PANC-1	41	BIBW-2992	0.5021	-4.28	22.2988	GSK2334470	0.551	11.21	5.7171	84.38	10.1256	7.41	76.97
260	PL45	41	SN-38	0.009	10.31	7.9387	Vorinostat	0.4261	-16.32	3.9168	72.26	1.4452	-4.33	76.59
251	MiaPaCa-2	41	MK-2206	0.1602	-11.27	13.7494	Piperlongumine	1	2.95	5.6935	68.55	0.6855	-7.99	76.54
251	MiaPaCa-2	41	GSK2334470	0.1007	-5.25	7.7175	MLN-8237	0.0162	-1.51	15.9456	69.46	1.3892	-6.84	76.3
260	PL45	41	Thapsigargin	0.004	-17.52	2.9784	Vorinostat	0.4261	-16.32	3.9168	39.55	1.582	-36.7	76.25
251	MiaPaCa-2	41	Dasatinib	0.0139	-11.78	2.8272	Thapsigargin	0.01	-17.57	9.3121	44.78		-31.42	76.2
251	MiaPaCa-2	41	MLN-8237	0.0162	-1.51	15.9456	Thapsigargin	0.01	-17.57	9.3121	56.66	9.6322	-19.35	76.01
252	PANC-1	41	Thapsigargin	0.001	5.35	2.889	Vorinostat	0.4261	-14.42	13.2664	67.63		-8.3	75.93
260	PL45	41	BI-2536	0.0062	3.89	8.8303	Vorinostat	0.7687	-21.78	4.7916	58.6	11.134	-17.04	75.64
260	PL45	41	Pemetrexed	0.0504	-6.38	5.8696	Vorinostat	0.7687	-21.78	4.7916	45.82	16.4952	-29.55	75.37
260	PL45	41	Dovitinib	0.1165	-25.72	3.0864	JQ1	0.2087	-8.11	4.2983	39.26	1.1778	-35.92	75.18
260	PL45	41	Simvastatin	1	-6.28	4.2704	Vorinostat	0.7687	-21.78	4.7916	45.5	8.645	-29.43	74.93
260	PL45	41	MLN-8237	0.0162	-24.69	2.9628	Vorinostat	0.4261	-16.32	3.9168	29.87	4.1818	-45.04	74.91
257	SU-86-86	41	Crizotinib	0.87	3.07	3.4998	MK-2206	0.1602	-4.95	12.276	73.16	5.8528	-1.73	74.89
257	SU-86-86	41	GSK650394A	0.5955	1.22	8.296	MK-2206	0.1602	-4.95	12.276	71.18	5.6944	-3.67	74.85
260	PL45	41	PF-431396	4.3128	21.06	1.8954	Vorinostat	0.7687	-21.78	4.7916	78.7	3.148	3.87	74.83
260	PL45	41	BI-2536	0.0062	3.89	8.8303	BRD-7389	0.6297	-14.32	9.308	64.76	1.9428	-9.87	74.63
257	SU-86-86	41	Foretinib	0.2066	-5.89	6.7735	MK-2206	0.1602	-4.95	12.276	63.39	12.678	-11.13	74.52
260	PL45	41	Simvastatin	4	-4.15	1.992	Thapsigargin	0.004	-17.52	2.9784	52.04	4.1632	-22.4	74.44
252	PANC-1	41	Thapsigargin	0.004	-10.67	27.5286	Vorinostat	2.08	-7.24	3.982	55.64		-18.68	74.32
260	PL45	41	Erlotinib	0.038	-3.48	6.438	Erlotinib	0.1161	0.61	9.2659	71.44	5.0008	-2.85	74.29
257	SU-86-86	41	Simvastatin	1	5.93	3.0836	Thapsigargin	0.001	4.86	6.7554	84.67	0.8467	10.5	74.17
260	PL45	41	Simvastatin	4	-4.15	1.992	Vorinostat	0.7687	-21.78	4.7916	47.27	2.8362	-26.83	74.1
260	PL45	41	Crizotinib	0.87	-17.25	2.5875	Vorinostat	0.7687	-21.78	4.7916	31.28	1.2512	-42.79	74.07
257	SU-86-86	41	Pemetrexed	0.0184	3.22	4.1538	Piperlongumine	1	1.31	11.3839	78.41	2.3523	4.49	73.92
257	SU-86-86	41	SB225002	0.22	-0.17	6.9496	Thapsigargin	0.001	4.86	6.7554	78.56	6.2848	4.7	73.86
257	SU-86-86	41	CMPD-1	0.845	2.77	4.1827	Dovitinib	1	-1.87	4.114	74.69	2.2407	0.95	73.74
257	SU-86-86	41	Dovitinib	1	-1.87	4.114	GSK2334470	0.551	3.55	6.4965	75.4	7.54	1.75	73.65
257	SU-86-86	41	GSK2334470	0.1007	2.84	8.4916	MLN-8237	0.0162	2.44	6.954	78.84	1.5768	5.21	73.63
257	SU-86-86	41	MK-2206	0.1602	-4.95	12.276	Piperlongumine	2.5	11.39	3.417	80.6	2.418	7	73.6
257	SU-86-86	41	CMPD-1	2.5956	10.24	6.9632	MK-2206	0.1602	-4.95	12.276	79.36	1.5872	5.8	73.56
252	PANC-1	41	Thapsigargin	0.001	5.35	2.889	Vorinostat	0.7687	-8.35	23.213	70.94		-2.55	73.49
257	SU-86-86	41	GSK2334470	8.616	0.15	10.1145	GSK650394A	1.1269	-1.88	7.3132	71.6	5.012	-1.73	73.33
257	SU-86-86	41	Piperlongumine	1	1.31	11.3839	SB225002	0.22	-0.17	6.9496	74.46	8.9352	1.14	73.32
260	PL45	41	IMD 0354	0.13	-21.5	7.095	Thapsigargin	0.004	-17.52	2.9784	30.52	3.052	-42.79	73.31
252	PANC-1	41	MLN-8237	0.0162	0.38	20.919	Vorinostat	0.7687	-8.35	23.213	65.36		-7.94	73.3
260	PL45	41	Crizotinib	0.3	-24.93	7.9776	Flavopiridol	0.1381	5.92	9.5312	55.72	4.4576	-17.53	73.25
260	PL45	41	Piperlongumine	1	-12.74	8.918	Thapsigargin	0.001	-11.64	5.238	47.23	3.3061	-25.86	73.09
257	SU-86-86	41	SB225002	0.22	-0.17	6.9496	Vorinostat	0.4261	6.34	5.1988	79.07	2.3721	6.18	72.89
260	PL45	41	Flavopiridol	0.1381	5.92	9.5312	Simvastatin	4	-4.15	1.992	74.76	7.476	2.02	72.74
260	PL45	41	JQ1	0.2087	-8.11	4.2983	Thapsigargin	0.01	-14.38	5.6082	49.05	2.943	-23.66	72.71
251	MiaPaCa-2	41	GSK2334470	0.551	-2.45	22.8095	MK-2206	0.1602	-11.27	13.7494	58.7	4.109	-14	72.7
252	PANC-1	41	BIBW-2992	0.0569	-1.56	13.6968	GSK1120212	0.0017	19.18	5.5622	90.6	7.248	17.92	72.68
260	PL45	41	MK-2206	5	16.97	7.6365	Thapsigargin	0.01	-14.38	5.6082	77.65	3.8825	5.03	72.62
260	PL45	41	Flavopiridol	0.2181	22.73	5.0006	Vorinostat	0.7687	-21.78	4.7916	78.41	2.3523	5.9	72.51
260	PL45	41	Oligomycin	7.4095	16.48	5.768	Vorinostat	0.7687	-21.78	4.7916	70.74	3.537	-1.71	72.45
260	PL45	41	MK-2206	1.521	9.62	0.962	Vorinostat	0.7687	-21.78	4.7916	62.37	0.6237	-10.06	72.43
251	MiaPaCa-2	41	AZD-1480	10	-20.67	6.6144	Dasatinib	0.0139	-11.78	2.8272	37.54		-34.88	72.42
260	PL45	41	BIBW-2992	0.0143	-3.76	4.8128	BRD-7389	0.6297	-14.32	9.308	53.78	2.1512	-18.62	72.4
257	SU-86-86	41	GSK650394A	2.1931	0.58	10.2892	Vorinostat	0.4261	6.34	5.1988	79.25	3.9625	6.88	72.37
260	PL45	41	JQ1	0.2087	-8.11	4.2983	MLN-8237	0.0162	-24.69	2.9628	37.5	7.875	-34.8	72.3
251	MiaPaCa-2	41	MK-2206	1.521	-3.68	15.6032	Thapsigargin	0.01	-17.57	9.3121	50.38	1.0076	-21.9	72.28
257	SU-86-86	41	AZD-8055	0.0212	-2.83	3.396	AZD-8055	0.0511	15.4	4.928	84.79	0.8479	13.01	71.78
260	PL45	41	Flavopiridol	0.2181	22.73	5.0006	JQ1	0.2087	-8.11	4.2983	88.19	1.7638	16.46	71.73
260	PL45	41	Oligomycin	1.6151	6.47	2.5233	Thapsigargin	0.004	-17.52	2.9784	61.71	1.2342	-9.92	71.63
251	MiaPaCa-2	41	GSK2334470	0.1007	-5.25	7.7175	Thapsigargin	0.01	-17.57	9.3121	47.87	13.4036	-23.74	71.61
260	PL45	41	CREBi1	2.0724	-15.17	7.4333	Vorinostat	0.7687	-21.78	4.7916	31.36	4.0768	-40.25	71.61
251	MiaPaCa-2	41	Thapsigargin	0.004	-8.22	19.0704	Vorinostat	0.4261	-4.78	4.2064	58.21	3.4926	-13.39	71.6
260	PL45	41	Simvastatin	0.25	4.24	14.5432	Vorinostat	0.7687	-21.78	4.7916	54.91	3.2946	-16.62	71.53
260	PL45	41	Thapsigargin	0.01	-14.38	5.6082	Vorinostat	0.7687	-21.78	4.7916	32.12	12.5268	-39.29	71.41
257	SU-86-86	41	AZD-1480	1	2.68	5.628	Pemetrexed	0.0184	3.22	4.1538	77.17	3.8585	5.81	71.36
260	PL45	41	Crizotinib	0.87	-17.25	2.5875	JQ1	0.2087	-8.11	4.2983	44.56	1.7824	-26.76	71.32
257	SU-86-86	41	Dasatinib	0.0139	-0.19	6.2852	MK-2206	0.1602	-4.95	12.276	66.11	2.6444	-5.15	71.26
251	MiaPaCa-2	41	Dasatinib	0.0139	-11.78	2.8272	MK-2206	0.1602	-11.27	13.7494	46.88		-24.38	71.26
257	SU-86-86	41	MK-2206	0.1602	-4.95	12.276	Vorinostat	0.4261	6.34	5.1988	72.95	6.5655	1.7	71.25
260	PL45	41	Dovitinib	0.1165	-25.72	3.0864	Dovitinib	1	-19.51	3.5118	20.99	3.9881	-50.25	71.24
257	SU-86-86	41	ABT-199	0.2	1.96	5.782	MLN-8237	0.0162	2.44	6.954	75.49	0.7549	4.35	71.14
251	MiaPaCa-2	41	GSK2334470	0.1007	-5.25	7.7175	Thapsigargin	0.004	-8.22	19.0704	57.13	7.4269	-13.9	71.03
260	PL45	41	MLN-8237	0.0162	-24.69	2.9628	SN-38	0.009	10.31	7.9387	59.03	1.7709	-11.83	70.86
260	PL45	41	GSK2334470	0.551	-5.33	1.5457	Vorinostat	0.7687	-21.78	4.7916	42.58	8.0902	-28.27	70.85
257	SU-86-86	41	Pemetrexed	0.0184	3.22	4.1538	SB225002	0.22	-0.17	6.9496	73.72	2.2116	3.06	70.66
260	PL45	41	BRD-7389	1.2531	20.41	4.2861	Vorinostat	0.7687	-21.78	4.7916	73.73	6.6357	3.08	70.65
257	SU-86-86	41	GSK2334470	0.551	3.55	6.4965	Piperlongumine	1	1.31	11.3839	75.32	6.7788	4.81	70.51
257	SU-86-86	41	MK-2206	0.1602	-4.95	12.276	Vorinostat	0.7687	9.06	5.6172	74.94	2.9976	4.56	70.38
260	PL45	41	Vorinostat	0.4261	-16.32	3.9168	Vorinostat	2.08	14.95	2.2425	71.36	0.7136	1.07	70.29
251	MiaPaCa-2	41	GSK2334470	0.1007	-5.25	7.7175	MK-2206	0.1602	-11.27	13.7494	53.17	14.3559	-17.11	70.28
251	MiaPaCa-2	41	Thapsigargin	0.01	-17.57	9.3121	Vorinostat	0.4261	-4.78	4.2064	46.98	1.4094	-23.19	70.17
257	SU-86-86	41	Crizotinib	0.87	3.07	3.4998	Erlotinib	0.038	0.43	1.8834	73.65	8.838	3.49	70.16
260	PL45	41	GDC-0941	0.154	-4.06	7.3486	Vorinostat	0.7687	-21.78	4.7916	43.39	3.0373	-26.72	70.11
251	MiaPaCa-2	41	GSK2334470	0.551	-2.45	22.8095	Thapsigargin	0.01	-17.57	9.3121	49.54	3.4678	-20.45	69.99
252	PANC-1	41	Vorinostat	0.4261	-14.42	13.2664	Vorinostat	0.7687	-8.35	23.213	46.01		-23.97	69.98
257	SU-86-86	41	Piperlongumine	1	1.31	11.3839	Piperlongumine	2.5	11.39	3.417	82.48	1.6496	12.55	69.93
257	SU-86-86	41	Simvastatin	1	5.93	3.0836	Vorinostat	0.4261	6.34	5.1988	81.75	5.7225	11.89	69.86
260	PL45	41	Simvastatin	4	-4.15	1.992	Vorinostat	0.4261	-16.32	3.9168	48.71	2.9226	-21.15	69.86
257	SU-86-86	41	GSK2334470	0.1007	2.84	8.4916	MK-2206	0.1602	-4.95	12.276	67.87	5.4296	-1.97	69.84
257	SU-86-86	41	AZD-1480	1	2.68	5.628	Simvastatin	1	5.93	3.0836	78.28	0.7828	8.45	69.83
257	SU-86-86	41	MLN-8237	0.0162	2.44	6.954	Pemetrexed	0.0184	3.22	4.1538	75.38	11.307	5.58	69.8
257	SU-86-86	41	SB225002	0.22	-0.17	6.9496	Vorinostat	0.7687	9.06	5.6172	78.7	0.787	8.91	69.79
252	PANC-1	41	Simvastatin	4	2.33	6.99	Vorinostat	0.4261	-14.42	13.2664	58.04		-11.75	69.79
251	MiaPaCa-2	41	Piperlongumine	1	2.95	5.6935	Thapsigargin	0.01	-17.57	9.3121	55.66	3.8962	-14.1	69.76
257	SU-86-86	41	GSK2334470	0.1007	2.84	8.4916	Pemetrexed	0.0184	3.22	4.1538	75.72	4.5432	5.97	69.75
252	PANC-1	41	JQ1	0.2087	6.69	7.6266	Vorinostat	2.08	-7.24	3.982	69.6	19.488	-0.07	69.67
257	SU-86-86	41	Dovitinib	0.1165	1.58	6.636	MK-2206	0.1602	-4.95	12.276	66.31	3.9786	-3.29	69.6
252	PANC-1	41	Simvastatin	4	2.33	6.99	Thapsigargin	0.004	-10.67	27.5286	61.32		-8.09	69.41
260	PL45	41	Dovitinib	0.1165	-25.72	3.0864	Thapsigargin	0.01	-14.38	5.6082	25.58	0.5116	-43.8	69.38
257	SU-86-86	41	MLN-8237	0.0162	2.44	6.954	Thapsigargin	0.001	4.86	6.7554	76.23	3.8115	7.18	69.05
260	PL45	41	JQ1	0.2087	-8.11	4.2983	Vorinostat	0.7687	-21.78	4.7916	37.33	4.8529	-31.66	68.99
260	PL45	41	JQ1	0.4894	7.16	2.4344	Vorinostat	0.7687	-21.78	4.7916	55.92	1.1184	-13.06	68.98
260	PL45	41	GSK650394A	0.5955	-19.74	12.831	Vorinostat	0.4261	-16.32	3.9168	29.59	7.6934	-39.28	68.87
260	PL45	41	MLN-8237	0.0162	-24.69	2.9628	Pemetrexed	0.0504	-6.38	5.8696	36.11	5.7776	-32.65	68.76
260	PL45	41	MLN-8237	0.0162	-24.69	2.9628	Piperlongumine	2.5	7.73	5.1791	53.65	1.073	-15.05	68.7
251	MiaPaCa-2	41	GSK650394A	2.1931	-22.35	8.046	Vorinostat	0.7687	20.18	6.4576	71.02	2.8408	2.34	68.68
251	MiaPaCa-2	41	GSK650394A	1.1269	-1.09	20.1432	Thapsigargin	0.01	-17.57	9.3121	49.72	4.4748	-18.85	68.57
260	PL45	41	BI-2536	0.0062	3.89	8.8303	CREBi1	2.0724	-15.17	7.4333	57.88	5.788	-10.69	68.57
260	PL45	41	Crizotinib	0.3	-24.93	7.9776	Dovitinib	0.1165	-25.72	3.0864	11.5	3.22	-57.06	68.56
257	SU-86-86	41	Pemetrexed	0.0184	3.22	4.1538	Thapsigargin	0.001	4.86	6.7554	76.42	3.821	7.92	68.5
251	MiaPaCa-2	41	SB225002	0.67	16.34	13.072	Thapsigargin	0.01	-17.57	9.3121	70.08	3.504	1.64	68.44
257	SU-86-86	41	Dovitinib	1	-1.87	4.114	Erlotinib	0.1161	6.48	3.1104	73.16	3.658	4.73	68.43
260	PL45	41	IMD 0354	0.13	-21.5	7.095	MLN-8237	0.0162	-24.69	2.9628	16.78	7.8866	-51.5	68.28
260	PL45	41	Erlotinib	0.038	-3.48	6.438	Vorinostat	0.7687	-21.78	4.7916	42.11	3.7899	-26.02	68.13
260	PL45	41	Crizotinib	0.3	-24.93	7.9776	Vorinostat	2.08	14.95	2.2425	61.81	2.4724	-6.25	68.06
260	PL45	41	Flavopiridol	0.1381	5.92	9.5312	Vorinostat	2.08	14.95	2.2425	88	0.88	19.98	68.02
260	PL45	41	Dovitinib	0.1165	-25.72	3.0864	Flavopiridol	0.1381	5.92	9.5312	49.7	5.964	-18.28	67.98
260	PL45	41	Oligomycin	1.6151	6.47	2.5233	Vorinostat	0.4261	-16.32	3.9168	59.15	1.7745	-8.79	67.94
257	SU-86-86	41	Paclitaxel	0.001	11.31	1.9227	Piperlongumine	1	1.31	11.3839	80.4	3.216	12.47	67.93
257	SU-86-86	41	GSK2334470	8.616	0.15	10.1145	GSK650394A	2.1931	0.58	10.2892	68.64	13.728	0.73	67.91
251	MiaPaCa-2	41	Dasatinib	0.0139	-11.78	2.8272	GDC-0941	0.154	-18.09	22.4316	35.86		-32	67.86
257	SU-86-86	41	MK-2206	0.1602	-4.95	12.276	Paclitaxel	0.001	11.31	1.9227	74.76	3.738	6.92	67.84
257	SU-86-86	41	GSK650394A	1.1269	-1.88	7.3132	Pemetrexed	0.0184	3.22	4.1538	69.23	6.923	1.4	67.83
252	PANC-1	41	Piperlongumine	1	-1.52	9.4544	Thapsigargin	0.004	-10.67	27.5286	55.45		-12.35	67.8
251	MiaPaCa-2	41	GSK2334470	8.616	13.77	2.0655	MK-2206	0.1602	-11.27	13.7494	71.84	2.8736	4.05	67.79
257	SU-86-86	41	BIBW-2992	0.0569	1.07	8.9452	CMPD-1	0.845	2.77	4.1827	71.52	9.2976	3.81	67.71
257	SU-86-86	41	BYL-719	1.5396	11.75	7.4025	MK-2206	0.1602	-4.95	12.276	74.95	2.998	7.38	67.57
257	SU-86-86	41	BRD-7389	0.6297	4.59	11.934	Dovitinib	0.1165	1.58	6.636	73.67	4.4202	6.1	67.57
260	PL45	41	SB225002	0.67	-9.64	3.5668	Vorinostat	0.4261	-16.32	3.9168	40.02	8.4042	-27.53	67.55
